index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,n_reference_samples,n_recent_samples,threshold,stability_offset
0,0.1874444196870671,0.6203185391492214,802.0,735.0,1.0,0.0833895324096083,0.0
1,0.1879034214695983,0.6193088660191803,801.0,765.0,1.0,0.0839335524542257,0.0
2,0.1892895870469404,0.6173824183384994,714.0,832.0,1.0,0.0832670535549046,0.0
3,0.1897272974846508,0.6172694318154232,746.0,827.0,1.0,0.0834969493998214,0.0
4,0.1931069271142805,0.6170770492260893,387.0,828.0,1.0,0.083998599497341,0.0
5,0.1987992671816205,0.6154130547259575,254.0,903.0,1.0,0.0843699331041425,0.0
6,0.2176341849871265,0.5954255407821334,802.0,735.0,1.0,0.0833895324096083,0.1
7,0.3597277926322041,0.4723547362957402,714.0,1190.0,3.0,0.083422773815592,0.9
8,0.3602833481877596,0.4699674264856541,775.0,1193.0,3.0,0.0841248279735446,0.9
9,0.3622467320261435,0.4664780951920637,755.0,1327.0,3.0,0.0830935055781155,0.9
10,0.362673920578332,0.4662524841413159,714.0,1184.0,5.0,0.0835485410289838,0.9
11,0.3632294761338876,0.4645459435470544,746.0,1186.0,5.0,0.0839282548772171,0.9
12,0.3641385670429785,0.4617783368934801,754.0,1238.0,5.0,0.0845657406812533,0.9
13,0.3651928599722714,0.4607197035927088,748.0,1328.0,5.0,0.0830467416155742,0.9
14,0.3651928599722714,0.4607197035927088,748.0,1328.0,5.0,0.083998599497341,0.9
15,0.3653650475341649,0.4600513069982775,749.0,1167.0,7.0,0.0837114254357293,0.9
16,0.3657547286591401,0.4572250083690092,784.0,1219.0,7.0,0.0839414691850543,0.9
17,0.3660577589621704,0.456880424253082,763.0,1205.0,8.0,0.0840538858221843,0.9
18,0.3669668498712614,0.4553503633287864,773.0,1222.0,8.0,0.084452166265808,0.9
19,0.3689870518914633,0.4537030364457213,757.0,1241.0,9.0,0.0830224467599764,0.9
