index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,feature_id,batch_size,divergence,detect_batch,statistic,significance,subsets
0,0.6458736720870119,0.8585768563877034,4999,3,4837,KL,3,tstat,0.0101786575133963,27
1,0.7295134146982382,0.8381795980150069,4999,3,710,H,3,stdev,0.0011344236184763,1
2,0.7346522779067768,0.8137637475559142,4999,3,710,KL,3,stdev,0.0011344236184763,1
3,0.735300426054925,0.812302161112028,4999,3,688,KL,3,stdev,0.0011344236184763,1
4,0.737671720619291,0.7853411984149626,4999,3,688,KL,2,stdev,0.0101786575133963,1
5,0.738472857960192,0.7785657169329694,4999,3,549,KL,2,stdev,0.0101786575133963,1
6,0.7418470433555981,0.762368673663708,4999,3,2689,KL,1,stdev,0.0101786575133963,1
7,0.7506816660813941,0.7598883488853537,4999,3,688,KL,1,stdev,0.0101786575133963,1
8,0.7508899994147274,0.7593692154967865,4999,3,729,KL,1,stdev,0.0101786575133963,1
9,0.6335179090581163,0.8500204846781567,4986,3,4430,KL,3,tstat,0.005501884225056,18
10,0.6428525443254787,0.8467888830697465,4999,3,3629,KL,3,tstat,0.0101786575133963,20
11,0.718918848003383,0.8341398029850443,4999,3,4647,H,3,stdev,0.0011344236184763,1
12,0.7346760486541108,0.8080733903681274,4999,3,710,KL,3,stdev,0.0101786575133963,1
13,0.7350464190244812,0.806611803924241,4999,3,688,KL,3,stdev,0.0101786575133963,1
14,0.7493153116997292,0.7589554252959567,4999,3,667,KL,1,stdev,0.0101786575133963,1
15,0.6344631415309788,0.8469590887228601,4999,3,4038,KL,3,tstat,0.0101786575133963,27
16,0.6429038509775256,0.8417299824869717,4903,3,4594,KL,3,tstat,0.0085367077204717,12
17,0.6711054563577382,0.8389710027733374,4999,3,4647,KL,3,tstat,0.0011344236184763,1
18,0.6857103516296875,0.8386691658786312,4999,3,1596,H,3,stdev,0.0139759196637145,1
19,0.7457236892868753,0.7565805609808406,4999,3,549,KL,1,stdev,0.0101786575133963,1
