index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,feature_id,batch_size,divergence,detect_batch,statistic,significance,subsets
0,0.6132458953245048,0.7395275984074863,4848,5,1620,H,3,stdev,0.0058180201546745,1
1,0.644303737028437,0.7310985486709114,1169,5,1620,H,3,stdev,0.0058180201546745,1
2,0.6521395126825097,0.720843861386128,1169,5,644,H,3,stdev,0.0058180201546745,1
3,0.652262575053169,0.7138517877380334,1571,5,4924,H,1,stdev,0.6810164574247445,19
4,0.6582031139941349,0.7137101507674642,900,5,4997,H,1,stdev,0.6777322464582851,20
5,0.6592081700370206,0.7088868145601052,325,5,4791,H,1,stdev,0.7510149662389181,19
6,0.6048591534323281,0.7358346747727154,4762,5,4877,H,2,stdev,0.0058180201546745,13
7,0.6129213440736924,0.7309603472902838,4119,5,4040,H,2,stdev,0.0058180201546745,6
8,0.6175955258260709,0.7306840297534611,1169,5,1620,H,3,stdev,0.0058180201546745,6
9,0.6178505454386926,0.7304343346299376,4790,5,3961,H,2,stdev,0.0058180201546745,6
10,0.6194018935973511,0.7294485607220786,1011,5,673,H,3,stdev,0.0058180201546745,6
11,0.6388623348096548,0.728123697661164,521,5,1620,H,3,stdev,0.0058180201546745,1
12,0.6455333423513167,0.7197902072427949,622,5,644,H,3,stdev,0.0058180201546745,1
13,0.6463587643451634,0.7164554102546649,1534,5,4040,H,2,stdev,0.0058180201546745,1
14,0.64691265575431,0.7117460404543329,1753,5,4040,H,2,stdev,0.0058180201546745,1
15,0.6081002892324086,0.7320890217738552,4709,5,1620,H,2,stdev,0.0058180201546745,4
16,0.6129879517352754,0.7294860500330657,4692,5,4040,H,2,stdev,0.0058180201546745,6
17,0.6425403671215076,0.7189017080142944,1011,5,3203,H,2,stdev,0.0058180201546745,1
18,0.6534550295690883,0.7066471727748044,504,5,4791,H,1,stdev,0.6904835936278191,15
19,0.6607370096247565,0.6960948332021046,4848,5,1620,H,1,stdev,0.0058180201546745,4
