index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,feature_id,batch_size,divergence,detect_batch,statistic,significance,subsets
0,0.5938203835688757,0.8295134557042197,4739,3,1672,H,3,tstat,0.0224598031749583,12
1,0.5953908635883688,0.8292269269503404,4667,3,1050,H,3,tstat,0.0199206667974479,12
2,0.6130640482862243,0.8257658193823273,4765,3,1638,H,3,tstat,0.0088380900416523,16
3,0.6231120197774526,0.8225208549680941,4984,3,1060,H,3,tstat,0.0060514606785262,1
4,0.6329163722384659,0.8160819716037215,4984,3,4989,H,3,stdev,0.0060514606785262,1
5,0.6713187946718643,0.7916317909780536,124,3,3886,KL,2,stdev,0.9945166229067788,1
6,0.7228676596003892,0.7494605729888095,4723,3,4999,KL,1,stdev,0.0020036069716295,7
7,0.7271497928849894,0.7385060046262536,4984,3,2928,KL,1,stdev,0.0060514606785262,1
8,0.7411804337231963,0.7310655069347426,3989,3,4939,KL,1,tstat,0.9969118056129664,1
9,0.7482778640756983,0.724443421218382,49,3,4989,KL,1,stdev,0.0060514606785262,1
10,0.601421976526965,0.8253271882752828,4728,3,1162,H,3,tstat,0.0033077569547232,14
11,0.6049033107943464,0.8241357435222546,4901,3,2014,H,3,tstat,0.0034616708701193,14
12,0.609167996669915,0.823202413423455,4889,3,1512,H,3,tstat,0.003815624568866,19
13,0.6158769594704354,0.8213350230004407,1422,3,3718,KL,3,stdev,0.9963074181582504,2
14,0.6293764518356072,0.8167572510827602,1006,3,3829,KL,3,stdev,0.9887221629548024,1
15,0.6411086744639373,0.8099217127196658,2807,3,4989,H,3,stdev,0.0060514606785262,1
16,0.6817905346409999,0.7815088333226357,476,3,3559,KL,2,stdev,0.0036145596280694,1
17,0.6918127995045483,0.7790267151376227,153,3,2513,H,2,stdev,0.0060514606785262,1
18,0.7457714678768679,0.723243406823356,153,3,4989,KL,1,stdev,0.0060514606785262,1
19,0.7473111446150094,0.7161325077829778,153,3,4989,KL,1,stdev,0.4191098946071004,1
