Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,feature_proportion,n_clusters,confidence
Completed,0.7,11,1556,3721,0.258,34,0.01
Completed,0.73,36,1638,358,0.727,35,0.025
Completed,0.71,10,4648,4538,0.436,3,0.05
Completed,0.7,11,2635,2111,0.019,15,0.001
Completed,0.64,14,1114,2931,0.817,49,0.01
Completed,0.66,11,372,1649,0.361,22,0.001
Completed,0.68,11,3383,3408,0.537,42,0.01
Completed,0.73,88,4069,162,0.538,23,0.001
Completed,0.73,37,4659,425,0.561,13,0.025
Completed,0.73,29,3840,889,0.127,11,0.01
Completed,0.71,12,3732,3093,0.471,13,0.1
Completed,0.7,18,1961,2441,0.799,11,0.25
Completed,0.7,10,3612,4760,0.717,39,0.005
Completed,0.73,14,133,190,0.385,24,0.01
Completed,0.66,9,883,3982,0.935,44,0.005
Completed,0.71,15,2873,973,0.229,19,0.01
Completed,0.69,15,4848,3547,0.32,5,0.25
Completed,0.73,14,4268,2635,0.099,28,0.01
Completed,0.71,10,875,3155,0.107,24,0.05
Completed,0.74,16,3527,1386,0.779,15,0.005
Completed,0.71,11,4044,4790,0.623,13,0.001
Completed,0.72,22,3869,824,0.885,30,0.1
Completed,0.72,9,2348,4067,0.217,9,0.025
Completed,0.69,11,2219,650,0.948,8,0.01
Completed,0.66,30,4057,4281,0.154,30,0.005
Completed,0.68,13,3215,1865,0.298,44,0.025
Completed,0.7,9,522,3231,0.601,20,0.05
Completed,0.69,12,962,2014,0.083,49,0.05
Completed,0.67,10,2801,3067,0.754,14,0.001
Completed,0.74,32,4459,496,0.665,1,0.01
Completed,0.7,11,1766,4439,0.499,38,0.25
Completed,0.73,22,4718,1340,0.579,5,0.001
Completed,0.71,13,4768,2428,0.135,50,0.01
Completed,0.7,13,4822,2562,0.181,50,0.05
Completed,0.68,9,2037,2476,0.164,29,0.05
Completed,0.7,13,3863,2466,0.244,39,0.05
Completed,0.72,17,4762,1381,0.729,37,0.05
Completed,0.72,16,3929,1552,0.851,44,0.1
Completed,0.72,17,5000,1356,0.847,50,0.001
Completed,0.71,12,100,316,0.595,13,0.025
Completed,0.72,14,446,493,0.649,16,0.05
Completed,0.71,16,1735,1414,0.725,24,0.05
Completed,0.73,19,4614,1265,0.6,38,0.05
Completed,0.73,15,3679,2082,0.999,50,0.005
Completed,0.74,18,5000,1404,0.68,50,0.05
Completed,0.69,11,4596,5000,0.88,26,0.1
Completed,0.69,11,630,2532,0.237,36,0.05
Completed,0.7,13,4947,2551,0.125,50,0.005
Completed,0.72,15,3881,1493,0.697,39,0.005
Completed,0.72,13,345,472,0.647,14,0.001
Completed,0.72,19,3880,1101,0.6,1,0.1
Completed,0.72,23,3897,1025,0.6,1,0.05
Completed,0.72,14,2186,361,0.529,1,0.25
Completed,0.73,20,4682,1350,0.36,19,0.005
Completed,0.73,15,1,157,0.42,30,0.05
Completed,0.73,18,1071,805,0.626,1,0.1
Completed,0.73,45,5000,532,0.481,49,0.005
Completed,0.73,134,611,44,0.433,10,0.05
Completed,0.72,17,4976,1349,0.645,18,0.05
