Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,feature_proportion,n_clusters,confidence
Completed,0.73,4,4328,4287,0.657,50,0.025
Completed,0.73,3,164,3572,0.217,1,0.1
Completed,0.75,11,4909,851,0.738,41,0.05
Completed,0.73,4,2052,722,0.662,49,0.05
Completed,0.74,6,4481,1873,0.701,1,0.05
Completed,0.73,4,3358,4501,0.716,1,0.1
Completed,0.73,3,456,4672,0.63,50,0.25
Completed,0.74,13,4935,866,0.656,1,0.05
Completed,0.73,5,3288,3036,0.75,1,0.25
Completed,0.74,7,1397,841,0.76,1,0.1
Completed,0.75,12,4985,888,0.674,46,0.05
Completed,0.74,10,4877,1001,0.675,50,0.05
Completed,0.74,7,5000,1582,0.284,1,0.001
Completed,0.75,10,4990,926,0.892,48,0.05
Completed,0.73,3,725,4392,0.644,1,0.01
Completed,0.72,4,2059,817,0.788,1,0.1
Completed,0.75,10,1842,734,0.76,50,0.1
Completed,0.73,4,5000,5000,0.669,50,0.05
Completed,0.74,8,5000,1046,0.701,50,0.1
Completed,0.73,5,3968,5000,0.623,50,0.025
Completed,0.75,11,4831,882,0.843,50,0.1
Completed,0.72,5,2121,963,0.743,50,0.05
Completed,0.75,8,5000,1288,0.664,50,0.05
Completed,0.74,7,5000,1393,0.631,50,0.05
Completed,0.75,12,5000,913,0.777,21,0.05
Completed,0.75,15,5000,496,0.692,50,0.05
Completed,0.73,4,3897,5000,0.271,50,0.25
Completed,0.74,8,5000,1382,0.748,8,0.05
Completed,0.75,9,5000,1211,0.999,50,0.1
Completed,0.72,4,509,5000,0.657,50,0.05
Completed,0.74,14,5000,607,0.999,41,0.05
Completed,0.75,9,5000,1005,0.256,50,0.05
Completed,0.74,8,5000,1341,0.822,50,0.1
Completed,0.75,10,5000,832,0.931,50,0.1
Completed,0.75,12,5000,824,0.893,50,0.05
Completed,0.75,10,4969,822,0.708,45,0.1
Completed,0.75,11,5000,665,0.716,50,0.1
Completed,0.75,10,5000,985,0.639,50,0.05
Completed,0.72,3,2402,5000,0.999,1,0.025
Completed,0.75,9,5000,836,0.772,50,0.05
Completed,0.75,14,5000,578,0.803,35,0.1
Completed,0.73,5,2590,2291,0.621,1,0.01
Completed,0.74,7,5000,1972,0.596,50,0.01
Completed,0.75,10,4186,983,0.66,50,0.1
Completed,0.74,9,5000,1040,0.798,50,0.1
Completed,0.75,10,5000,656,0.765,50,0.1
Completed,0.72,3,337,4739,0.631,1,0.25
Completed,0.74,19,5000,352,0.734,50,0.05
Completed,0.74,14,5000,520,0.85,50,0.1
Completed,0.75,12,5000,779,0.874,1,0.05
Completed,0.73,4,2817,4402,0.624,50,0.025
Completed,0.74,14,1764,523,0.999,50,0.1
Completed,0.74,6,5000,2406,0.778,1,0.05
Completed,0.74,8,1713,945,0.858,50,0.1
Completed,0.74,4,5000,4414,0.647,50,0.05
Completed,0.74,8,5000,1089,0.818,6,0.05
Completed,0.73,5,2154,792,0.001,50,0.05
Completed,0.73,4,511,3596,0.837,50,0.01
Completed,0.74,5,5000,3572,0.647,50,0.1
Completed,0.74,10,5000,1213,0.8,50,0.05
Completed,0.75,6,5000,1504,0.623,50,0.1
Completed,0.74,7,5000,1561,0.769,36,0.1
Completed,0.73,4,1,4512,0.59,50,0.1
Completed,0.75,8,5000,1158,0.911,50,0.05
Completed,0.75,9,5000,923,0.826,50,0.25
Completed,0.75,10,5000,775,0.642,50,0.1
Completed,0.74,8,5000,1076,0.944,5,0.1
Completed,0.75,8,4401,1291,0.822,50,0.1
Completed,0.73,5,5000,3991,0.612,50,0.05
Completed,0.74,7,4750,1757,0.646,50,0.1
Completed,0.75,12,5000,733,0.676,50,0.05
Completed,0.75,9,5000,904,0.999,50,0.25
Completed,0.74,6,5000,2183,0.806,50,0.1
Completed,0.74,5,5000,3556,0.159,50,0.1
Completed,0.75,7,3006,708,0.986,50,0.25
Completed,0.74,6,5000,2112,0.972,50,0.25
Completed,0.75,10,5000,827,0.842,50,0.25
Completed,0.75,10,3412,616,0.857,50,0.05
Completed,0.75,9,5000,882,0.999,50,0.05
Completed,0.74,17,4942,397,0.001,50,0.25
Completed,0.75,7,3978,1697,0.922,50,0.25
Completed,0.74,5,5000,2762,0.663,50,0.05
Completed,0.75,7,5000,1536,0.836,50,0.25
Completed,0.75,8,5000,1525,0.831,50,0.05
Completed,0.75,9,5000,970,0.9,50,0.25
Completed,0.75,8,4666,1031,0.921,50,0.25
Completed,0.73,568,5000,4857,0.001,50,0.005
Completed,0.75,12,3188,654,0.5,50,0.005
Completed,0.74,16,4499,463,0.561,50,0.25
Completed,0.74,6,2511,875,0.813,50,0.25
Completed,0.74,10,4361,1049,0.537,50,0.1
Completed,0.75,9,4702,1161,0.458,50,0.1
Completed,0.73,5,2315,906,0.839,50,0.25
Completed,0.74,7,1215,936,0.088,50,0.1
Completed,0.72,5,2090,720,0.9,50,0.05
Completed,0.75,11,1823,655,0.835,50,0.05
Completed,0.75,10,1333,987,0.406,50,0.005
Completed,0.73,4,2946,3770,0.701,3,0.01
Completed,0.74,9,4364,1069,0.876,50,0.25
Completed,0.72,3,410,5000,0.445,50,0.05
Completed,0.74,6,2672,1242,0.815,50,0.1
Completed,0.75,8,4370,1253,0.262,50,0.05
Completed,0.75,13,1325,640,0.86,50,0.25
Completed,0.73,4,4115,3745,0.463,50,0.1
Completed,0.73,4,2426,4434,0.822,50,0.05
Completed,0.74,6,2923,1566,0.808,50,0.05
Completed,0.74,171,1204,853,0.057,50,0.005
Completed,0.75,15,3154,766,0.605,50,0.005
Completed,0.75,11,4920,847,0.001,50,0.25
Completed,0.75,10,3622,837,0.999,50,0.005
Completed,0.74,5,1034,1547,0.515,50,0.1
Completed,0.75,116,2917,188,0.437,50,0.005
Completed,0.73,5,5000,2877,0.223,50,0.1
Completed,0.75,8,3936,1281,0.785,50,0.25
Completed,0.73,5,5000,3892,0.4,50,0.05
Completed,0.75,14,3946,912,0.799,50,0.005
Completed,0.73,5,1435,4584,0.397,50,0.1
Completed,0.74,38,2878,1061,0.088,50,0.025
Completed,0.75,11,4775,851,0.769,50,0.005
Completed,0.73,4,1648,5000,0.382,50,0.005
Completed,0.75,27,1674,1023,0.007,50,0.05
Completed,0.73,4,601,4152,0.941,50,0.25
Completed,0.73,4,2208,692,0.994,50,0.1
Completed,0.74,7,2830,950,0.917,50,0.005
Completed,0.75,10,1604,790,0.866,50,0.005
Completed,0.73,5,1379,3735,0.183,50,0.1
Completed,0.75,11,5000,888,0.615,50,0.25
Completed,0.74,7,1844,3492,0.855,50,0.025
Completed,0.73,544,5000,1458,0.143,50,0.001
Completed,0.73,5,2183,723,0.857,50,0.01
Completed,0.75,8,3217,648,0.439,1,0.001
Completed,0.75,12,5000,704,0.581,1,0.005
Completed,0.75,12,5000,796,0.952,50,0.005
Completed,0.75,13,5000,692,0.908,50,0.005
Completed,0.75,12,5000,738,0.988,50,0.005
Completed,0.75,40,5000,725,0.999,50,0.005
Completed,0.75,12,5000,746,0.895,50,0.005
Completed,0.75,12,5000,737,0.999,50,0.25
Completed,0.75,12,5000,720,0.88,50,0.005
Completed,0.75,10,5000,755,0.999,36,0.25
Completed,0.75,11,5000,632,0.944,50,0.005
