Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,feature_proportion,n_clusters,confidence
Completed,0.12,849,1290,4519,0.257,12,0.025
Completed,0.44,2736,3820,342,0.722,36,0.005
Completed,0.24,884,1754,2053,0.52,8,0.001
Completed,0.13,768,3685,4967,0.686,19,0.01
Completed,0.16,840,1083,2611,0.071,11,0.05
Completed,0.23,874,3897,2214,0.108,23,0.1
Completed,0.18,811,1566,2836,0.642,38,0.01
Completed,0.14,812,2438,1506,0.498,16,0.05
Completed,0.2,787,4601,3387,0.751,45,0.005
Completed,0.31,920,3625,995,0.553,31,0.001
Completed,0.11,780,914,4113,0.197,10,0.025
Completed,0.23,813,721,1188,0.572,7,0.25
Completed,0.14,1177,3507,4310,0.178,30,0.001
Completed,0.3,929,4407,1312,0.378,46,0.1
Completed,0.07,953,2320,3190,0.872,19,0.005
Completed,0.21,820,1763,2489,0.019,41,0.01
Completed,0.2,794,4013,3107,0.731,24,0.1
Completed,0.19,824,3129,1989,0.68,26,0.25
Completed,0.15,775,4730,4890,0.89,50,0.001
Completed,0.41,1734,1982,511,0.36,15,0.01
Completed,0.14,808,1436,3869,0.531,43,0.25
Completed,0.1,800,2918,4665,0.337,3,0.1
Completed,0.1,1000,44,287,0.912,38,0.001
Completed,0.07,913,343,3591,0.418,34,0.25
Completed,0.16,777,2634,1712,0.832,7,0.05
Completed,0.17,1106,4157,3910,0.597,19,0.05
Completed,0.34,998,1320,788,0.154,42,0.025
Completed,0.49,4586,1195,165,0.339,47,0.025
Completed,0.36,1194,4353,750,0.219,22,0.01
Completed,0.11,900,2750,3631,0.46,4,0.025
Completed,0.15,776,540,1750,0.789,33,0.1
Completed,0.09,1014,2597,3355,0.846,39,0.01
Completed,0.34,1276,3852,898,0.999,43,0.01
Completed,0.21,1042,4078,2631,0.001,50,0.1
Completed,0.4,1586,1199,413,0.001,24,0.005
Completed,0.26,1171,4687,1851,0.604,36,0.1
Completed,0.28,1044,3864,1478,0.999,32,0.25
Completed,0.24,1046,4102,2193,0.992,1,0.001
Completed,0.26,945,2578,820,0.001,20,0.025
Completed,0.34,1854,3989,943,0.643,48,0.1
Completed,0.36,1530,1787,647,0.001,24,0.1
Completed,0.3,1083,5000,1331,0.999,41,0.1
Completed,0.26,907,839,1030,0.001,22,0.025
Completed,0.19,1031,4174,3349,0.999,37,0.1
Completed,0.29,1441,4303,1403,0.001,12,0.1
Completed,0.33,1092,1496,944,0.999,24,0.01
Completed,0.05,1091,1,2238,0.999,1,0.05
Completed,0.31,1412,1599,1054,0.999,1,0.25
Completed,0.34,1190,1941,931,0.999,27,0.025
Completed,0.14,763,5000,5000,0.218,50,0.05
Completed,0.2,870,1495,2445,0.999,50,0.1
Completed,0.31,901,4281,1357,0.999,11,0.005
Completed,0.14,806,4155,4960,0.001,1,0.025
Completed,0.18,824,1210,2458,0.512,1,0.25
Completed,0.16,995,2050,184,0.001,33,0.025
Completed,0.2,966,1352,2320,0.001,50,0.005
Completed,0.15,822,5000,4530,0.001,50,0.025
Completed,0.17,856,5000,3852,0.001,50,0.025
Completed,0.38,1136,1481,634,0.999,29,0.01
Completed,0.22,2482,1236,318,0.001,1,0.025
Completed,0.14,838,3638,4983,0.001,50,0.01
Completed,0.42,1764,1259,336,0.999,1,0.1
Completed,0.29,982,4252,1388,0.999,1,0.05
Completed,0.14,801,5000,5000,0.001,50,0.25
Completed,0.29,930,1881,1390,0.999,1,0.005
Completed,0.28,925,4267,1514,0.999,1,0.05
Completed,0.44,1876,1235,301,0.999,1,0.025
Completed,0.29,2254,1184,315,0.001,1,0.1
Completed,0.28,924,4098,1532,0.999,1,0.005
Completed,0.36,1045,2650,421,0.999,13,0.01
Completed,0.41,2142,4484,451,0.001,50,0.025
Completed,0.23,2315,1208,272,0.001,1,0.025
Completed,0.22,847,1500,2047,0.999,1,0.25
Completed,0.34,1078,2704,522,0.001,50,0.01
Completed,0.32,989,1877,1078,0.315,28,0.025
Completed,0.48,3763,1472,208,0.999,23,0.01
Completed,0.29,872,1344,1128,0.456,21,0.005
Completed,0.37,1488,4059,663,0.001,31,0.025
Completed,0.26,822,1343,1456,0.38,50,0.025
Completed,0.25,899,1210,1445,0.195,50,0.025
Completed,0.36,1183,1373,668,0.999,5,0.01
Completed,0.24,892,1184,1401,0.643,50,0.025
Completed,0.13,768,1593,5000,0.001,50,0.025
Completed,0.35,1026,1284,669,0.999,4,0.005
Completed,0.38,1120,1333,580,0.999,5,0.01
Completed,0.22,952,4922,2559,0.001,1,0.05
Completed,0.05,673,1,5000,0.001,1,0.025
Completed,0.32,1076,4359,1155,0.757,17,0.01
Completed,0.42,1693,1666,435,0.342,30,0.1
Completed,0.4,1533,1671,516,0.418,31,0.01
Completed,0.16,865,1567,3509,0.001,50,0.025
Completed,0.37,1262,1651,698,0.465,30,0.01
Completed,0.05,1075,2099,1222,0.999,2,0.01
Completed,0.12,772,3267,5000,0.001,50,0.05
Completed,0.45,2964,1672,312,0.442,30,0.01
Completed,0.14,831,2285,1011,0.784,23,0.01
Completed,0.12,832,2261,1395,0.999,13,0.01
Completed,0.19,943,2274,644,0.999,24,0.005
Completed,0.35,1107,1178,687,0.504,28,0.1
Completed,0.38,1436,1237,473,0.999,21,0.1
Completed,0.34,1320,4321,974,0.448,35,0.005
Completed,0.37,1501,1447,587,0.892,41,0.1
Completed,0.39,1874,1409,478,0.999,43,0.1
Completed,0.26,926,1130,1272,0.999,50,0.005
Completed,0.28,1347,3812,1459,0.999,50,0.005
Completed,0.4,1590,3414,463,0.999,18,0.01
Completed,0.42,2104,3708,390,0.49,50,0.01
Completed,0.41,2364,3512,434,0.706,1,0.01
Completed,0.36,1141,3154,595,0.999,13,0.01
Completed,0.39,1392,1412,519,0.001,50,0.005
Completed,0.25,1165,1880,1997,0.999,34,0.005
Completed,0.26,910,4647,1761,0.57,23,0.1
Completed,0.34,1169,4275,952,0.316,21,0.25
Completed,0.27,1031,1136,1180,0.819,43,0.25
Completed,0.26,864,4200,1836,0.841,1,0.025
Completed,0.42,1809,1397,396,0.999,11,0.1
Completed,0.28,945,1071,1037,0.373,23,0.01
Completed,0.43,2932,1405,357,0.999,22,0.001
Completed,0.25,893,4332,2093,0.374,2,0.25
Completed,0.24,887,1644,1931,0.999,12,0.005
Completed,0.14,917,3643,4384,0.263,18,0.01
Completed,0.48,4868,1380,180,0.999,24,0.001
Completed,0.18,1307,4823,3384,0.14,16,0.005
Completed,0.28,1003,4306,1596,0.772,30,0.1
Completed,0.38,1287,1401,569,0.999,23,0.025
Completed,0.38,1178,1522,608,0.543,37,0.001
Completed,0.1,907,2490,2572,0.923,43,0.01
Completed,0.28,934,4508,1665,0.442,13,0.25
Completed,0.28,856,1774,1311,0.91,7,0.001
Completed,0.24,1105,1632,1831,0.999,29,0.1
Completed,0.25,998,4463,1989,0.226,20,0.25
Completed,0.49,5815,1461,165,0.999,10,0.005
Completed,0.49,6722,1395,150,0.999,38,0.001
Completed,0.4,1919,4471,538,0.999,9,0.001
Completed,0.04,1203,2114,1874,0.999,5,0.01
Completed,0.23,942,4708,2222,0.999,26,0.05
Completed,0.18,914,4784,3626,0.763,44,0.01
Completed,0.41,2033,4526,502,0.9,38,0.025
Completed,0.39,1947,4516,573,0.999,50,0.25
Completed,0.38,2074,4301,615,0.999,39,0.005
Completed,0.44,3512,4401,360,0.999,50,0.25
Completed,0.38,1507,3322,505,0.001,19,0.01
Completed,0.45,2795,1394,291,0.999,19,0.005
Completed,0.14,900,1507,3986,0.001,50,0.01
Completed,0.15,937,4555,4523,0.999,50,0.25
Completed,0.19,885,4213,3488,0.999,1,0.005
Completed,0.14,903,4257,5000,0.999,1,0.005
Completed,0.32,1017,4260,1124,0.001,11,0.025
Completed,0.21,834,4604,2750,0.999,1,0.25
Completed,0.16,1132,5000,4830,0.16,50,0.01
Completed,0.18,910,1436,2768,0.001,50,0.005
Completed,0.09,883,798,5000,0.709,50,0.01
Completed,0.16,890,3922,3764,0.999,50,0.025
Completed,0.18,1071,4533,3661,0.001,50,0.25
Completed,0.22,1192,4422,2409,0.001,1,0.01
Completed,0.16,890,5000,4109,0.001,1,0.01
Completed,0.21,1032,4782,2829,0.999,50,0.1
Completed,0.15,959,1585,3786,0.001,1,0.01
Completed,0.16,1040,853,2125,0.001,50,0.005
Completed,0.15,999,4978,4325,0.999,50,0.01
Completed,0.27,962,5000,1599,0.001,1,0.25
Completed,0.2,861,4685,2718,0.504,1,0.01
Completed,0.24,1002,5000,2076,0.999,50,0.05
Completed,0.17,858,1296,2640,0.579,1,0.025
Completed,0.18,1289,4153,3201,0.001,1,0.001
Completed,0.05,826,1,3050,0.999,50,0.01
Completed,0.23,880,1121,1588,0.314,50,0.01
Completed,0.23,911,5000,2396,0.999,50,0.25
Completed,0.17,787,4376,3960,0.045,3,0.25
Completed,0.31,1023,1905,1184,0.945,26,0.005
Completed,0.14,806,760,2621,0.571,48,0.01
Completed,0.2,902,3270,2189,0.419,25,0.001
Completed,0.05,1173,106,1835,0.132,15,0.001
Completed,0.2,827,4224,3111,0.486,34,0.01
Completed,0.08,852,599,4134,0.894,18,0.1
Completed,0.34,1117,3109,734,0.111,43,0.005
Completed,0.07,899,2389,3494,0.214,32,0.25
Completed,0.3,1007,4918,1347,0.811,4,0.001
Completed,0.17,777,4771,3708,0.161,6,0.025
Completed,0.11,979,2300,1482,0.813,30,0.1
Completed,0.11,845,993,4714,0.688,45,0.25
Completed,0.5,6944,3504,146,0.286,21,0.01
Completed,0.1,882,2830,4311,0.978,42,0.05
Completed,0.19,888,339,833,0.016,19,0.005
Completed,0.19,892,1684,2816,0.39,9,0.001
Completed,0.25,860,4214,1993,0.603,32,0.25
Completed,0.15,956,3994,4537,0.367,37,0.025
Completed,0.37,1616,1524,594,0.654,10,0.005
Completed,0.05,1023,208,3220,0.778,14,0.001
Completed,0.18,864,2717,1621,0.243,40,0.025
Completed,0.18,891,3293,2680,0.553,23,0.001
Completed,0.14,930,803,2483,0.456,50,0.05
Completed,0.04,1119,2158,3861,0.083,28,0.05
Completed,0.34,1059,4687,1007,0.927,1,0.01
Completed,0.22,843,4585,2545,0.024,15,0.025
Completed,0.04,1265,2094,2274,0.997,39,0.01
Completed,0.11,849,866,4041,0.622,36,0.001
Completed,0.29,955,3396,1113,0.399,12,0.1
Completed,0.1,817,2781,4439,0.834,26,0.25
Completed,0.22,2115,310,412,0.176,3,0.005
Completed,0.15,868,1421,3431,0.301,25,0.1
Completed,0.27,908,3931,1750,0.709,48,0.05
Completed,0.15,892,4121,4215,0.442,46,0.25
Completed,0.38,1295,1631,663,0.533,20,0.05
Completed,0.07,913,393,3035,0.906,5,0.25
Completed,0.17,954,2922,2139,0.068,31,0.1
Completed,0.15,806,3557,3570,0.635,7,0.005
Completed,0.26,844,1087,1262,0.359,34,0.01
Completed,0.04,1051,2207,4886,0.235,44,0.05
