Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,feature_proportion,n_clusters,confidence
Completed,0.54,14,3626,4502,0.8,39,0.25
Completed,0.51,9,2160,1938,0.082,21,0.001
Completed,0.53,12,443,2905,0.44,3,0.05
Completed,0.67,93,3783,351,0.658,34,0.005
Completed,0.58,19,3909,3014,0.422,32,0.25
Completed,0.55,26,4214,3839,0.331,37,0.05
Completed,0.51,8,75,3164,0.628,7,0.005
Completed,0.59,18,4643,2483,0.57,20,0.05
Completed,0.58,13,2509,2988,0.852,1,0.01
Completed,0.58,36,2772,609,0.272,3,0.001
Completed,0.57,19,1736,2269,0.527,29,0.25
Completed,0.6,30,4286,1508,0.991,36,0.01
Completed,0.59,14,3568,3335,0.71,42,0.25
Completed,0.61,19,281,746,0.248,9,0.05
Completed,0.58,22,3428,1968,0.064,39,0.01
Completed,0.65,41,2389,307,0.822,19,0.025
Completed,0.58,43,4882,1070,0.657,25,0.25
Completed,0.53,8,15,1285,0.549,6,0.001
Completed,0.54,12,2354,3560,0.909,24,0.25
Completed,0.59,55,3429,997,0.192,42,0.005
Completed,0.58,21,2636,2660,0.729,15,0.01
Completed,0.69,129,1602,262,0.386,46,0.005
Completed,0.58,13,1062,3207,0.243,29,0.1
Completed,0.64,73,4402,653,0.898,10,0.005
Completed,0.54,10,4831,4768,0.103,7,0.001
Completed,0.56,14,631,2214,0.758,26,0.01
Completed,0.6,43,609,607,0.703,1,0.1
Completed,0.52,7,2014,4542,0.814,22,0.001
Completed,0.6,17,3440,2145,0.034,41,0.05
Completed,0.55,8,2997,4198,0.509,19,0.001
Completed,0.62,27,1532,1634,0.353,50,0.01
Completed,0.56,19,2831,1824,0.278,18,0.001
Completed,0.61,21,1086,1490,0.999,50,0.1
Completed,0.61,29,5000,1399,0.001,50,0.25
Completed,0.66,52,797,405,0.172,27,0.005
Completed,0.65,46,2481,304,0.001,15,0.005
Completed,0.58,20,4573,3092,0.999,1,0.01
Completed,0.58,20,4025,3015,0.999,50,0.025
Completed,0.64,61,1577,532,0.274,50,0.01
Completed,0.59,19,3833,2484,0.001,50,0.01
Completed,0.61,41,3629,1172,0.744,50,0.01
Completed,0.69,80,1882,439,0.031,50,0.025
Completed,0.57,19,2039,398,0.001,50,0.01
Completed,0.7,83,1339,239,0.001,2,0.005
Completed,0.52,9,992,1,0.001,1,0.005
Completed,0.69,167,1905,94,0.001,1,0.005
Completed,0.65,26,2201,407,0.001,35,0.005
Completed,0.66,49,1326,519,0.045,50,0.25
Completed,0.65,50,3205,479,0.001,50,0.01
Completed,0.58,24,1727,1936,0.999,50,0.01
Completed,0.6,20,5000,2951,0.001,50,0.05
Completed,0.52,10,1252,1,0.001,1,0.25
Completed,0.52,9,5000,1,0.001,1,0.1
Completed,0.6,30,5000,1577,0.999,26,0.005
Completed,0.54,16,5000,5000,0.309,50,0.25
Completed,0.55,10,4156,4898,0.301,50,0.005
Completed,0.55,9,2759,3802,0.001,25,0.1
Completed,0.59,17,4517,2444,0.001,30,0.1
Completed,0.54,11,5000,5000,0.999,13,0.01
Completed,0.65,27,4032,1341,0.251,36,0.1
Completed,0.54,12,458,1593,0.001,31,0.025
Completed,0.54,8,2280,5000,0.999,1,0.1
Completed,0.61,25,5000,1819,0.695,41,0.05
Completed,0.6,27,5000,1839,0.17,50,0.1
Completed,0.54,13,5000,5000,0.999,45,0.25
Completed,0.56,10,836,3780,0.392,38,0.005
Completed,0.54,12,4643,5000,0.738,5,0.1
Completed,0.54,11,5000,5000,0.001,20,0.05
Completed,0.66,68,1383,498,0.001,30,0.005
Completed,0.68,72,2911,335,0.218,38,0.025
Completed,0.73,326,1968,97,0.226,24,0.005
Completed,0.67,96,5000,472,0.595,42,0.025
Completed,0.74,118,2720,133,0.245,23,0.005
Completed,0.58,14,1,192,0.356,1,0.005
Completed,0.63,65,5000,778,0.001,50,0.025
Completed,0.58,29,5000,2306,0.001,50,0.025
Completed,0.61,57,5000,1035,0.999,8,0.005
Completed,0.56,16,5000,4046,0.999,50,0.005
Completed,0.68,128,5000,331,0.999,25,0.005
Completed,0.56,16,5000,3929,0.999,1,0.01
Completed,0.63,43,5000,1343,0.001,5,0.005
Completed,0.57,15,1,359,0.001,20,0.005
Completed,0.59,22,5000,3274,0.999,50,0.1
Completed,0.67,117,5000,329,0.999,34,0.005
Completed,0.7,138,5000,288,0.001,33,0.005
Completed,0.56,18,5000,3703,0.001,1,0.25
Completed,0.6,22,5000,2768,0.999,50,0.1
Completed,0.65,109,5000,393,0.001,32,0.005
Completed,0.61,29,5000,2060,0.001,50,0.25
Completed,0.59,22,5000,2017,0.999,50,0.1
Completed,0.61,31,5000,1585,0.999,50,0.25
Completed,0.55,11,1,773,0.999,50,0.05
Completed,0.58,19,5000,3145,0.999,50,0.001
Completed,0.54,13,5000,4671,0.999,50,0.05
Completed,0.6,65,3969,727,0.999,50,0.25
Completed,0.6,45,3767,805,0.999,23,0.005
Completed,0.52,6,1,4646,0.001,50,0.1
Completed,0.6,36,5000,1235,0.436,32,0.005
Completed,0.61,24,5000,2071,0.353,14,0.005
Completed,0.57,13,5000,3445,0.001,50,0.001
Completed,0.53,8,1,2324,0.999,1,0.005
Completed,0.56,12,5000,4021,0.001,20,0.001
Completed,0.56,11,5000,4321,0.999,50,0.005
Completed,0.56,13,5000,4312,0.999,50,0.001
Completed,0.58,19,5000,2637,0.001,50,0.1
Completed,0.59,29,5000,1781,0.999,1,0.025
Completed,0.55,8,1,3389,0.999,50,0.1
Completed,0.57,21,5000,2869,0.999,1,0.1
Completed,0.57,15,5000,2425,0.001,1,0.05
Completed,0.52,6,1,3603,0.001,50,0.01
Completed,0.52,6,1,4055,0.001,1,0.1
Completed,0.56,16,5000,3740,0.999,50,0.005
Completed,0.57,26,5000,1924,0.001,30,0.1
Completed,0.58,52,5000,889,0.999,50,0.1
Completed,0.58,12,1,389,0.001,26,0.01
Completed,0.53,6,1,2436,0.001,50,0.25
Completed,0.68,67,3589,378,0.001,26,0.005
Completed,0.59,19,5000,2481,0.999,37,0.005
Completed,0.59,25,1179,1322,0.251,42,0.005
Completed,0.58,20,5000,2844,0.999,31,0.05
Completed,0.54,11,5000,4672,0.999,21,0.005
Completed,0.61,31,5000,1532,0.001,50,0.025
Completed,0.58,22,5000,2529,0.999,50,0.001
Completed,0.7,73,3461,376,0.001,34,0.005
Completed,0.58,25,5000,2647,0.001,1,0.025
Completed,0.59,15,280,1405,0.001,1,0.1
Completed,0.58,21,5000,3058,0.001,23,0.1
Completed,0.69,84,3559,307,0.001,29,0.005
Completed,0.66,107,3644,289,0.001,30,0.005
Completed,0.59,23,5000,2316,0.999,23,0.01
Completed,0.58,28,5000,1945,0.999,23,0.025
Completed,0.61,21,2938,1232,0.001,5,0.005
Completed,0.56,17,2260,826,0.001,1,0.1
Completed,0.6,23,1801,1719,0.001,50,0.025
Completed,0.59,17,1608,2462,0.001,1,0.01
Completed,0.55,14,5000,4347,0.001,19,0.025
Completed,0.56,14,4416,3927,0.001,50,0.1
Completed,0.53,9,5000,4574,0.001,1,0.25
Completed,0.61,30,5000,1723,0.001,50,0.01
Completed,0.54,6,1,1994,0.001,1,0.01
Completed,0.52,11,97,1915,0.999,1,0.25
Completed,0.59,19,3323,2230,0.999,50,0.25
