Status,ACCURACY,RUNTIME,recent_samples_size,delta
Completed,0.62,234,396,0.495
Completed,0.62,297,4852,0.862
Completed,0.62,287,2823,0.492
Completed,0.64,297,3885,0.322
Completed,0.59,325,413,0.115
Completed,0.62,205,2362,0.522
Completed,0.63,326,3206,0.482
Completed,0.65,355,1899,0.181
Completed,0.6,203,2185,0.243
Completed,0.62,257,1060,0.889
Completed,0.63,360,4260,0.257
Completed,0.62,303,3287,0.658
Completed,0.61,541,1337,0.043
Completed,0.62,328,1789,0.776
Completed,0.64,264,3589,0.393
Completed,0.63,282,3866,0.553
Completed,0.56,336,816,0.188
Completed,0.64,245,2578,0.611
Completed,0.64,290,4721,0.458
Completed,0.62,262,578,0.84
Completed,0.61,163,252,0.713
Completed,0.62,287,4431,0.615
Completed,0.59,313,1215,0.389
Completed,0.62,297,1639,0.981
Completed,0.59,134,49,0.107
Completed,0.61,257,4655,0.724
Completed,0.65,257,3048,0.315
Completed,0.6,188,2191,0.945
Completed,0.63,249,2382,0.358
Completed,0.59,304,2926,0.975
Completed,0.67,594,4524,0.067
Completed,0.63,223,627,0.525
Completed,0.63,360,3980,0.187
Completed,0.74,1449,3960,0.001
Completed,0.63,328,3739,0.244
Completed,0.66,435,5000,0.17
Completed,0.65,371,4387,0.155
Completed,0.71,1447,4559,0.001
Completed,0.64,358,4947,0.269
Completed,0.61,251,4989,0.999
Completed,0.67,734,3661,0.001
Completed,0.64,294,4174,0.298
Completed,0.64,322,3826,0.204
Completed,0.58,50,1,0.495
Completed,0.63,285,3892,0.463
Completed,0.58,53,1,0.304
Completed,0.66,422,4380,0.119
Completed,0.63,363,4953,0.396
Completed,0.63,246,827,0.999
Completed,0.57,321,3838,0.999
Completed,0.67,442,3186,0.08
Completed,0.65,365,4245,0.19
Completed,0.61,292,5000,0.684
Completed,0.71,1115,3450,0.001
Completed,0.63,330,4983,0.305
Completed,0.62,215,1125,0.781
Completed,0.66,376,4269,0.168
Completed,0.64,317,3666,0.354
Completed,0.65,354,3291,0.131
Completed,0.66,573,4295,0.038
Completed,0.67,554,4267,0.088
Completed,0.61,293,541,0.383
Completed,0.66,576,4319,0.025
Completed,0.64,239,858,0.692
Completed,0.7,711,4126,0.046
Completed,0.65,294,2732,0.127
Completed,0.65,507,4215,0.102
Completed,0.64,402,4444,0.077
Completed,0.62,271,1732,0.712
Completed,0.63,222,937,0.41
Completed,0.66,410,3968,0.121
Completed,0.64,621,3922,0.026
Completed,0.65,649,4300,0.015
Completed,0.69,665,4676,0.057
Completed,0.63,223,684,0.731
Completed,0.58,170,123,0.363
Completed,0.61,272,4904,0.773
Completed,0.65,462,3565,0.129
Completed,0.67,524,4080,0.076
Completed,0.64,249,1114,0.52
Completed,0.58,159,129,0.839
Completed,0.68,641,4134,0.066
Completed,0.71,735,4239,0.042
Completed,0.62,201,545,0.953
Completed,0.65,330,3131,0.135
Completed,0.66,457,4088,0.108
Completed,0.62,260,1136,0.702
Completed,0.67,459,4121,0.093
Completed,0.7,785,3639,0.037
Completed,0.68,593,4999,0.064
Completed,0.61,184,272,0.535
Completed,0.63,238,776,0.47
Completed,0.64,232,877,0.802
Completed,0.72,1081,3833,0.016
Completed,0.61,284,4957,0.606
Completed,0.64,253,728,0.308
Completed,0.62,226,454,0.999
Completed,0.64,635,4972,0.018
Completed,0.62,250,1228,0.999
Completed,0.61,243,1014,0.948
Completed,0.65,420,4964,0.136
Completed,0.65,415,3632,0.104
Completed,0.62,258,447,0.453
Completed,0.62,218,451,0.796
Completed,0.68,754,4888,0.045
Completed,0.61,292,4909,0.511
Completed,0.62,232,454,0.28
Completed,0.62,213,492,0.918
Completed,0.66,564,3635,0.027
Completed,0.66,339,2790,0.105
Completed,0.67,593,3931,0.049
Completed,0.66,400,3413,0.108
Completed,0.61,346,725,0.558
Completed,0.59,162,77,0.64
Completed,0.68,338,2553,0.046
Completed,0.64,243,935,0.493
Completed,0.62,233,1299,0.849
Completed,0.61,191,203,0.327
Completed,0.69,597,3295,0.044
Completed,0.64,401,3406,0.064
Completed,0.66,307,2604,0.109
Completed,0.69,568,3159,0.024
Completed,0.65,322,456,0.09
Completed,0.62,293,4915,0.929
Completed,0.65,286,2381,0.11
Completed,0.68,579,3311,0.036
Completed,0.67,402,3163,0.103
Completed,0.62,327,947,0.088
Completed,0.68,542,3342,0.053
Completed,0.66,536,3378,0.016
Completed,0.64,230,207,0.065
Completed,0.66,489,3580,0.089
Completed,0.63,206,416,0.696
Completed,0.59,165,262,0.753
Completed,0.6,152,2048,0.099
Completed,0.62,212,1044,0.639
Completed,0.62,274,3975,0.708
Completed,0.66,407,3015,0.107
Completed,0.63,358,5000,0.451
Completed,0.61,293,5000,0.827
Completed,0.64,305,3035,0.224
Completed,0.62,304,3298,0.275
Completed,0.61,266,929,0.355
Completed,0.59,95,43,0.19
Completed,0.7,462,2446,0.001
Completed,0.7,1373,3913,0.012
Completed,0.65,359,3182,0.09
Completed,0.69,771,3288,0.001
Completed,0.73,800,2865,0.001
Completed,0.62,500,2993,0.001
Completed,0.69,510,2811,0.02
Completed,0.65,419,505,0.001
Completed,0.63,463,3089,0.058
Completed,0.62,358,2955,0.042
Completed,0.61,250,2896,0.759
Completed,0.63,324,3238,0.553
Completed,0.62,268,3147,0.802
Completed,0.61,174,2078,0.001
Completed,0.67,418,2928,0.061
Completed,0.64,217,306,0.223
Completed,0.66,608,1007,0.001
Completed,0.65,293,196,0.001
Completed,0.67,342,2878,0.08
Completed,0.7,560,2826,0.01
Completed,0.65,281,2783,0.165
Completed,0.64,333,2776,0.086
Completed,0.64,285,2393,0.071
Completed,0.63,280,3458,0.588
Completed,0.65,783,1795,0.001
Completed,0.6,200,180,0.454
Completed,0.68,473,2945,0.052
Completed,0.58,48,1,0.233
Completed,0.65,334,292,0.001
Completed,0.6,338,3218,0.733
Completed,0.67,762,3121,0.001
Completed,0.64,222,2809,0.406
Completed,0.63,237,3245,0.618
Completed,0.61,303,3941,0.622
Completed,0.63,249,280,0.137
Completed,0.62,186,164,0.199
Completed,0.65,246,2435,0.147
Completed,0.61,158,314,0.869
Completed,0.59,47,1,0.14
Completed,0.62,221,2946,0.916
Completed,0.63,273,454,0.185
Completed,0.61,207,2212,0.66
Completed,0.66,519,4644,0.029
Completed,0.59,194,238,0.999
Completed,0.66,414,2994,0.034
Completed,0.63,166,179,0.133
Completed,0.66,331,1405,0.187
Completed,0.65,238,2676,0.45
Completed,0.72,1123,4498,0.011
Completed,0.64,230,643,0.663
Completed,0.59,250,2389,0.999
Completed,0.65,284,2555,0.143
Completed,0.67,612,4567,0.095
Completed,0.64,274,2862,0.356
Completed,0.62,246,1822,0.838
Completed,0.67,450,2971,0.075
Completed,0.58,110,44,0.878
Completed,0.63,308,3329,0.872
Completed,0.58,205,119,0.546
Completed,0.66,295,2701,0.107
Completed,0.58,53,1,0.928
Completed,0.63,206,316,0.623
Completed,0.64,293,533,0.15
Completed,0.61,490,3199,0.001
Completed,0.61,164,315,0.999
Completed,0.62,258,2581,0.205
Completed,0.65,510,4566,0.05
Completed,0.66,434,4508,0.134
Completed,0.66,703,4493,0.036
Completed,0.69,954,4426,0.02
Completed,0.68,591,4455,0.059
Completed,0.66,474,4474,0.109
Completed,0.64,225,728,0.873
Completed,0.64,559,4605,0.022
Completed,0.63,204,220,0.264
Completed,0.67,592,4515,0.084
Completed,0.62,290,4412,0.581
Completed,0.63,217,2317,0.208
Completed,0.66,549,4861,0.075
Completed,0.61,293,351,0.332
Completed,0.71,1411,4149,0.001
Completed,0.65,338,3029,0.152
Completed,0.61,270,4154,0.85
Completed,0.58,400,293,0.437
Completed,0.58,49,1,0.101
Completed,0.66,489,4478,0.044
Completed,0.61,236,249,0.927
Completed,0.59,302,2429,0.413
Completed,0.6,142,61,0.052
Completed,0.59,275,2846,0.703
Completed,0.71,1552,4833,0.001
Completed,0.71,1059,4185,0.029
Completed,0.64,269,3178,0.395
Completed,0.65,346,1948,0.191
Completed,0.65,287,3056,0.192
Completed,0.64,298,3917,0.511
Completed,0.62,277,4193,0.792
Completed,0.65,417,3195,0.175
Completed,0.63,301,674,0.237
Completed,0.63,265,1825,0.463
Completed,0.61,278,537,0.758
Completed,0.61,277,1474,0.946
Completed,0.62,278,4098,0.957
Completed,0.63,234,2647,0.809
Completed,0.62,217,310,0.816
Completed,0.62,200,595,0.629
Completed,0.66,328,1060,0.128
Completed,0.62,250,5000,0.743
Completed,0.61,322,817,0.763
Completed,0.64,264,2716,0.187
Completed,0.65,375,3653,0.169
Completed,0.63,242,1637,0.497
Completed,0.67,878,3861,0.002
Completed,0.64,273,2955,0.243
Completed,0.64,293,4045,0.394
Completed,0.64,290,3580,0.426
Completed,0.62,222,2198,0.141
Completed,0.67,670,4316,0.052
Completed,0.6,357,778,0.115
Completed,0.6,147,205,0.966
Completed,0.63,257,898,0.917
Completed,0.62,274,5000,0.95
Completed,0.62,238,593,0.796
Completed,0.63,305,1725,0.359
Completed,0.66,330,2623,0.081
Completed,0.58,46,1,0.061
Completed,0.61,196,2198,0.301
Completed,0.63,275,2871,0.579
Completed,0.64,297,3214,0.219
Completed,0.67,482,3234,0.065
Completed,0.63,242,2589,0.334
Completed,0.64,285,2949,0.282
Completed,0.63,197,133,0.091
Completed,0.62,278,4091,0.662
Completed,0.66,508,4120,0.034
Completed,0.58,128,2123,0.875
Completed,0.72,1301,3766,0.001
Completed,0.62,286,3363,0.931
Completed,0.59,207,108,0.274
Completed,0.65,465,3512,0.041
Completed,0.64,354,3421,0.208
Completed,0.58,138,2143,0.902
Completed,0.63,363,4645,0.223
Completed,0.62,275,474,0.643
Completed,0.61,157,89,0.141
Completed,0.62,268,4933,0.642
Completed,0.7,860,3836,0.03
Completed,0.63,227,2778,0.541
Completed,0.64,270,2594,0.242
Completed,0.6,200,2280,0.741
Completed,0.62,242,1743,0.654
Completed,0.62,187,504,0.58
Completed,0.63,196,2672,0.655
Completed,0.61,270,4448,0.999
Completed,0.6,308,499,0.872
Completed,0.62,319,1531,0.877
Completed,0.63,268,3126,0.507
Completed,0.62,272,3545,0.83
Completed,0.64,267,909,0.854
Completed,0.67,365,2693,0.055
Completed,0.63,223,3015,0.875
Completed,0.63,307,1530,0.392
Completed,0.6,207,2147,0.161
Completed,0.67,716,4090,0.008
Completed,0.61,319,2693,0.47
Completed,0.62,199,1133,0.662
Completed,0.61,288,5000,0.539
Completed,0.65,503,3824,0.037
Completed,0.65,724,4434,0.007
Completed,0.67,672,4149,0.02
Completed,0.64,559,3572,0.013
Completed,0.64,217,124,0.056
Completed,0.63,273,3868,0.749
Completed,0.68,417,2775,0.054
Completed,0.61,270,4971,0.9
Completed,0.58,49,1,0.039
Completed,0.62,298,3754,0.894
Completed,0.63,275,3164,0.435
Completed,0.65,374,5000,0.196
Completed,0.66,304,2575,0.124
Completed,0.66,733,3638,0.004
Completed,0.63,251,3181,0.69
Completed,0.63,251,634,0.258
Completed,0.63,248,2606,0.314
Completed,0.59,225,104,0.001
Completed,0.62,254,2921,0.999
Completed,0.63,212,654,0.999
Completed,0.63,145,94,0.101
Completed,0.68,399,2895,0.075
Completed,0.62,255,1032,0.999
Completed,0.66,677,4960,0.01
Completed,0.64,462,4991,0.05
Completed,0.64,279,2793,0.243
Completed,0.7,728,3124,0.014
Completed,0.64,249,294,0.07
Completed,0.63,228,188,0.091
Completed,0.62,405,2775,0.078
Completed,0.64,398,4614,0.287
Completed,0.65,294,2468,0.096
Completed,0.62,230,545,0.682
Completed,0.62,212,2444,0.888
Completed,0.63,228,462,0.542
Completed,0.62,244,982,0.561
Completed,0.58,165,155,0.999
Completed,0.64,281,3139,0.342
Completed,0.64,319,1769,0.289
Completed,0.64,322,5000,0.364
Completed,0.71,1595,4378,0.001
Completed,0.62,185,411,0.941
Completed,0.62,244,737,0.952
Completed,0.67,525,4922,0.101
Completed,0.65,336,2911,0.108
Completed,0.62,216,379,0.398
Completed,0.68,451,3163,0.071
Completed,0.64,323,4224,0.37
Completed,0.64,270,2496,0.172
Completed,0.64,251,645,0.335
Completed,0.61,233,2779,0.936
Completed,0.7,883,4401,0.031
Completed,0.63,250,419,0.256
Completed,0.64,304,3017,0.172
Completed,0.67,820,4197,0.007
Completed,0.59,144,2151,0.824
Completed,0.62,281,1929,0.623
Completed,0.67,522,3084,0.046
Completed,0.64,265,1214,0.452
Completed,0.6,220,229,0.788
Completed,0.6,157,117,0.217
Completed,0.61,263,1411,0.697
Completed,0.61,192,254,0.578
Completed,0.62,222,2353,0.171
Completed,0.64,283,2749,0.175
Completed,0.62,264,1073,0.748
Completed,0.62,255,3449,0.522
Completed,0.62,211,240,0.203
Completed,0.6,179,189,0.511
Completed,0.6,314,727,0.615
Completed,0.59,146,121,0.241
Completed,0.65,282,467,0.122
Completed,0.59,306,3402,0.961
Completed,0.71,1094,4537,0.015
Completed,0.61,180,45,0.001
Completed,0.62,248,544,0.979
Completed,0.62,354,4971,0.484
Completed,0.73,733,2637,0.001
Completed,0.67,526,2779,0.036
Completed,0.67,377,2751,0.067
Completed,0.64,251,352,0.105
Completed,0.7,620,2721,0.001
Completed,0.7,496,2664,0.02
Completed,0.64,378,1489,0.139
Completed,0.65,414,2757,0.044
Completed,0.65,317,375,0.056
Completed,0.73,767,2814,0.001
Completed,0.64,252,277,0.097
Completed,0.65,588,4043,0.023
Completed,0.57,161,120,0.321
Completed,0.66,488,4067,0.039
Completed,0.68,580,3811,0.059
Completed,0.64,259,375,0.147
Completed,0.63,219,255,0.17
Completed,0.65,297,1466,0.341
Completed,0.65,448,2787,0.029
Completed,0.65,309,1657,0.164
Completed,0.63,268,1425,0.511
Completed,0.65,306,1578,0.235
Completed,0.66,284,338,0.069
Completed,0.68,787,4704,0.041
Completed,0.67,330,411,0.035
Completed,0.61,263,336,0.284
Completed,0.67,499,4677,0.074
Completed,0.71,1258,4033,0.012
Completed,0.63,233,2725,0.842
Completed,0.63,334,1485,0.29
Completed,0.67,418,2628,0.03
Completed,0.67,465,2641,0.043
Completed,0.61,319,2715,0.143
Completed,0.61,244,4713,0.999
