Status,ACCURACY,RUNTIME,recent_samples_size,delta
Completed,0.73,1,22,0.722
Completed,0.73,1,2272,0.711
Completed,0.73,1,530,0.772
Completed,0.73,3,2323,0.003
Completed,0.73,1,34,0.233
Completed,0.73,1,2218,0.878
Completed,0.73,1,28,0.825
Completed,0.73,1,2486,0.792
Completed,0.73,2,509,0.969
Completed,0.73,1,2326,0.545
Completed,0.73,2,1997,0.777
Completed,0.73,2,1877,0.469
Completed,0.73,1,1705,0.832
Completed,0.73,1,2247,0.341
Completed,0.74,3,5000,0.021
Completed,0.73,1,2812,0.999
Completed,0.73,2,4590,0.152
Completed,0.73,3,2333,0.001
Completed,0.73,2,2126,0.279
Completed,0.73,1,2293,0.631
Completed,0.73,2,158,0.166
Completed,0.74,4,2775,0.001
Completed,0.73,2,2771,0.607
Completed,0.74,4,2850,0.001
Completed,0.73,1,10,0.265
Completed,0.73,2,58,0.574
Completed,0.73,1,4,0.29
Completed,0.73,2,3134,0.328
Completed,0.73,2,4973,0.53
Completed,0.73,3,2935,0.001
Completed,0.72,2,2507,0.005
Completed,0.73,1,1688,0.949
Completed,0.73,1,1747,0.979
Completed,0.72,2,2391,0.006
Completed,0.73,1,2103,0.177
Completed,0.73,2,663,0.482
Completed,0.73,2,2697,0.645
Completed,0.73,1,16,0.412
Completed,0.73,1,2729,0.829
Completed,0.73,2,54,0.87
Completed,0.73,2,2380,0.444
Completed,0.73,2,3135,0.26
Completed,0.73,2,4938,0.783
Completed,0.73,2,2454,0.397
Completed,0.73,3,2517,0.001
Completed,0.73,1,1,0.357
Completed,0.73,1,24,0.791
Completed,0.73,2,4245,0.826
Completed,0.73,1,1,0.188
Completed,0.73,2,2558,0.744
Completed,0.74,4,5000,0.006
Completed,0.73,2,2767,0.181
Completed,0.73,1,763,0.844
Completed,0.73,1,4997,0.894
Completed,0.74,3,4999,0.026
Completed,0.73,2,4668,0.666
Completed,0.73,2,4342,0.359
Completed,0.73,2,2373,0.942
Completed,0.73,1,3616,0.999
Completed,0.73,3,4960,0.034
Completed,0.73,1,36,0.17
Completed,0.73,1,2724,0.974
Completed,0.73,2,4572,0.528
Completed,0.73,2,2480,0.167
Completed,0.74,3,2580,0.001
Completed,0.73,1,2570,0.908
Completed,0.73,1,46,0.904
Completed,0.73,2,2285,0.516
Completed,0.73,1,1,0.501
Completed,0.73,2,1290,0.999
Completed,0.73,1,2200,0.235
Completed,0.73,1,1,0.207
Completed,0.73,1,2,0.764
Completed,0.73,1,1165,0.929
Completed,0.73,2,4961,0.414
Completed,0.73,2,4985,0.035
Completed,0.73,3,2395,0.001
Completed,0.73,2,4968,0.686
Completed,0.73,2,867,0.207
Completed,0.73,1,4995,0.96
Completed,0.73,1,1033,0.904
Completed,0.73,2,4234,0.666
Completed,0.74,3,5000,0.022
Completed,0.73,2,4566,0.698
Completed,0.73,2,674,0.377
Completed,0.73,2,2910,0.71
Completed,0.73,2,4968,0.313
Completed,0.73,2,4994,0.593
Completed,0.73,1,4624,0.895
Completed,0.73,2,4960,0.124
Completed,0.73,1,447,0.732
Completed,0.73,1,1095,0.883
Completed,0.73,1,24,0.652
Completed,0.73,2,4991,0.196
Completed,0.73,2,7,0.583
Completed,0.73,1,2608,0.862
Completed,0.73,1,8,0.965
Completed,0.73,2,2337,0.257
Completed,0.73,1,1,0.731
Completed,0.73,2,4959,0.748
Completed,0.73,2,1191,0.423
Completed,0.73,1,3065,0.815
Completed,0.73,1,4991,0.838
Completed,0.73,2,2784,0.767
Completed,0.73,2,2733,0.287
Completed,0.73,2,1139,0.718
Completed,0.73,2,1793,0.573
Completed,0.73,1,1270,0.911
Completed,0.73,1,3266,0.859
Completed,0.74,2,4968,0.043
Completed,0.73,2,2293,0.012
Completed,0.73,2,3920,0.473
Completed,0.73,1,4304,0.883
Completed,0.73,1,1976,0.87
Completed,0.73,1,4694,0.939
Completed,0.73,2,1721,0.155
Completed,0.73,2,4959,0.28
Completed,0.74,3,4999,0.043
Completed,0.73,1,2930,0.878
Completed,0.73,2,4993,0.051
Completed,0.73,2,3844,0.556
Completed,0.73,2,2537,0.014
Completed,0.73,2,1623,0.495
Completed,0.73,1,2054,0.142
Completed,0.73,2,3079,0.488
Completed,0.73,2,4992,0.049
Completed,0.73,2,355,0.803
Completed,0.74,3,4997,0.014
Completed,0.73,1,245,0.47
Completed,0.73,2,4944,0.372
Completed,0.73,2,1849,0.8
Completed,0.73,3,4990,0.037
Completed,0.73,2,4764,0.485
Completed,0.73,2,3895,0.443
Completed,0.73,1,32,0.946
Completed,0.73,1,1937,0.845
Completed,0.73,2,4989,0.057
Completed,0.73,1,1,0.693
Completed,0.73,1,1232,0.869
Completed,0.73,1,1,0.305
Completed,0.73,1,21,0.329
Completed,0.73,2,4994,0.031
Completed,0.73,1,726,0.924
Completed,0.73,1,1,0.126
Completed,0.73,1,4862,0.871
Completed,0.73,2,5000,0.06
Completed,0.73,1,10,0.987
Completed,0.73,1,4963,0.922
Completed,0.73,3,4998,0.009
Completed,0.73,1,1,0.705
Completed,0.73,1,4993,0.865
Completed,0.73,2,2269,0.371
Completed,0.73,2,1991,0.2
Completed,0.73,1,1,0.716
Completed,0.74,3,4990,0.028
Completed,0.73,2,4984,0.054
Completed,0.73,1,1,0.477
Completed,0.73,1,2643,0.696
Completed,0.73,1,1,0.669
Completed,0.73,1,1,0.252
Completed,0.73,2,4971,0.034
Completed,0.73,2,4217,0.773
Completed,0.73,1,418,0.999
Completed,0.73,1,2848,0.984
Completed,0.73,1,1828,0.906
Completed,0.73,2,4575,0.575
Completed,0.73,3,4997,0.03
Completed,0.73,2,1645,0.481
Completed,0.73,1,36,0.149
Completed,0.73,1,4339,0.932
Completed,0.74,3,4998,0.041
Completed,0.73,1,1036,0.957
Completed,0.73,1,15,0.527
Completed,0.73,2,4537,0.726
Completed,0.73,1,2763,0.857
Completed,0.73,2,1852,0.653
Completed,0.73,2,3318,0.523
Completed,0.73,1,1612,0.871
Completed,0.73,2,3654,0.686
Completed,0.73,2,4855,0.65
Completed,0.74,4,4996,0.013
Completed,0.73,2,4564,0.277
Completed,0.73,1,665,0.859
Completed,0.74,3,4985,0.039
Completed,0.73,1,4967,0.81
Completed,0.73,2,4976,0.548
Completed,0.73,2,411,0.918
Completed,0.73,1,855,0.891
Completed,0.73,2,4218,0.331
Completed,0.73,1,2355,0.756
Completed,0.73,1,2572,0.624
Completed,0.74,4,4989,0.011
Completed,0.73,3,2510,0.011
Completed,0.73,2,4533,0.642
Completed,0.73,1,3535,0.84
Completed,0.73,2,3226,0.466
Completed,0.73,2,2666,0.119
Completed,0.73,2,4610,0.228
Completed,0.73,2,4154,0.17
Completed,0.73,3,4998,0.065
Completed,0.73,2,4998,0.787
Completed,0.73,2,1263,0.613
Completed,0.73,1,2071,0.301
Completed,0.73,1,4970,0.949
Completed,0.73,1,2838,0.677
Completed,0.73,1,2525,0.847
Completed,0.73,1,5000,0.886
Completed,0.73,1,1854,0.882
Completed,0.73,2,4636,0.397
Completed,0.73,2,2965,0.999
Completed,0.73,1,4615,0.999
Completed,0.73,2,4971,0.329
Completed,0.73,2,4360,0.252
Completed,0.73,2,4115,0.621
Completed,0.73,1,2793,0.898
Completed,0.73,1,3887,0.938
Completed,0.73,1,4758,0.976
Completed,0.73,1,2914,0.864
Completed,0.73,2,4991,0.033
Completed,0.73,1,10,0.156
Completed,0.73,1,2208,0.153
Completed,0.73,3,4986,0.034
Completed,0.73,1,4668,0.989
Completed,0.73,2,3267,0.298
Completed,0.73,1,2496,0.873
Completed,0.73,3,5000,0.068
Completed,0.73,1,3263,0.984
Completed,0.73,1,1958,0.999
Completed,0.73,1,2038,0.327
Completed,0.73,1,54,0.853
Completed,0.73,2,3018,0.627
Completed,0.73,1,5000,0.876
Completed,0.73,1,15,0.803
Completed,0.73,1,1,0.639
Completed,0.73,1,4511,0.863
Completed,0.73,1,4,0.241
Completed,0.73,1,24,0.489
Completed,0.73,1,4119,0.975
Completed,0.73,1,11,0.44
Completed,0.73,2,1077,0.146
Completed,0.73,2,2561,0.016
Completed,0.73,1,3986,0.952
Completed,0.73,2,2487,0.013
Completed,0.73,1,2426,0.96
Completed,0.73,2,695,0.515
Completed,0.73,2,4435,0.467
Completed,0.74,3,4981,0.025
Completed,0.73,2,970,0.159
Completed,0.73,1,2986,0.834
Completed,0.73,2,1492,0.542
Completed,0.73,1,5,0.368
Completed,0.73,1,3563,0.871
Completed,0.73,1,3740,0.964
Completed,0.73,2,1388,0.523
Completed,0.73,2,595,0.532
Completed,0.73,1,1,0.112
Completed,0.73,1,2062,0.528
Completed,0.73,1,1448,0.9
Completed,0.73,1,4136,0.901
Completed,0.74,6,4998,0.005
Completed,0.74,2,4990,0.036
Completed,0.73,1,354,0.749
Completed,0.73,2,4553,0.551
Completed,0.73,2,1087,0.747
Completed,0.73,1,1221,0.85
Completed,0.73,3,4988,0.009
Completed,0.73,1,3312,0.96
Completed,0.73,1,7,0.227
Completed,0.73,1,2439,0.836
Completed,0.73,2,2711,0.513
Completed,0.73,1,2198,0.592
Completed,0.73,2,569,0.431
Completed,0.73,2,1804,0.353
Completed,0.73,2,2509,0.012
Completed,0.73,2,4225,0.273
Completed,0.73,1,2157,0.661
Completed,0.73,1,2296,0.982
Completed,0.73,1,583,0.339
Completed,0.73,1,931,0.354
Completed,0.73,2,2574,0.579
Completed,0.73,1,121,0.326
Completed,0.73,1,4945,0.999
Completed,0.74,6,5000,0.001
Completed,0.73,1,5000,0.935
Completed,0.73,2,4882,0.267
Completed,0.73,1,172,0.857
Completed,0.73,1,1542,0.855
Completed,0.74,4,3245,0.001
Completed,0.73,1,3190,0.999
Completed,0.73,2,4850,0.117
Completed,0.73,1,3599,0.954
Completed,0.73,1,5000,0.999
Completed,0.73,1,85,0.952
Completed,0.74,4,1745,0.001
Completed,0.73,1,4604,0.918
Completed,0.73,1,4,0.314
Completed,0.73,2,5000,0.438
Completed,0.73,1,3491,0.973
Completed,0.73,2,3719,0.277
Completed,0.73,1,1577,0.999
Completed,0.73,4,904,0.001
Completed,0.73,1,12,0.839
Completed,0.73,2,1430,0.324
Completed,0.73,1,2863,0.955
Completed,0.73,1,4976,0.975
Completed,0.74,6,4241,0.001
Completed,0.73,1,752,0.874
Completed,0.73,1,594,0.999
Completed,0.74,3,2551,0.001
Completed,0.73,2,4906,0.816
Completed,0.73,1,114,0.111
Completed,0.73,1,39,0.707
Completed,0.73,2,4204,0.279
Completed,0.73,1,170,0.821
Completed,0.74,3,1431,0.006
Completed,0.73,2,2947,0.579
Completed,0.73,2,3680,0.195
Completed,0.73,2,1953,0.642
Completed,0.73,1,667,0.467
Completed,0.73,2,4952,0.885
Completed,0.73,2,4514,0.113
Completed,0.73,2,1104,0.539
Completed,0.73,2,2372,0.356
Completed,0.73,1,3261,0.811
Completed,0.73,1,2740,0.415
Completed,0.73,1,1638,0.996
Completed,0.73,2,356,0.174
Completed,0.73,2,4017,0.722
Completed,0.73,2,3812,0.139
Completed,0.73,2,561,0.711
Completed,0.73,2,1824,0.395
Completed,0.73,1,2554,0.938
Completed,0.73,2,3290,0.335
Completed,0.73,2,2342,0.752
Completed,0.73,2,1055,0.077
Completed,0.73,2,4563,0.527
Completed,0.73,2,4747,0.472
Completed,0.73,1,872,0.928
Completed,0.73,1,2138,0.246
Completed,0.73,2,3495,0.671
Completed,0.73,2,2976,0.056
Completed,0.73,2,1402,0.607
Completed,0.73,1,121,0.283
Completed,0.73,1,4252,0.863
Completed,0.74,3,4314,0.022
Completed,0.73,1,65,0.563
Completed,0.73,2,1302,0.262
Completed,0.73,1,3071,0.836
Completed,0.73,2,3585,0.453
Completed,0.73,1,2033,0.9
Completed,0.73,2,820,0.21
Completed,0.73,2,4813,0.629
Completed,0.73,2,4629,0.369
Completed,0.73,1,1004,0.796
Completed,0.73,1,2238,0.098
Completed,0.73,2,3381,0.553
Completed,0.73,2,2650,0.158
Completed,0.73,2,1724,0.739
Completed,0.73,2,505,0.431
Completed,0.73,1,3873,0.98
Completed,0.73,2,3922,0.38
Completed,0.73,1,456,0.952
Completed,0.73,2,1694,0.153
Completed,0.73,2,2679,0.696
Completed,0.73,2,3195,0.094
Completed,0.73,1,2423,0.51
Completed,0.73,2,1209,0.32
Completed,0.73,2,4424,0.769
Completed,0.73,2,4862,0.229
Completed,0.73,2,772,0.686
Completed,0.73,1,2004,0.488
Completed,0.73,1,3615,0.912
Completed,0.73,2,2886,0.298
Completed,0.73,1,1487,0.849
Completed,0.72,2,270,0.042
Completed,0.73,2,4108,0.621
Completed,0.73,2,4072,0.218
Completed,0.73,1,311,0.635
Completed,0.73,2,1524,0.444
Completed,0.73,1,2844,0.893
Completed,0.73,2,3656,0.256
Completed,0.73,1,1967,0.828
Completed,0.73,2,730,0.029
Completed,0.73,2,4898,0.572
Completed,0.73,2,4382,0.422
Completed,0.73,2,1246,0.973
Completed,0.73,2,2465,0.166
Completed,0.73,2,3159,0.746
Completed,0.73,2,2715,0.105
Completed,0.73,2,1653,0.562
Completed,0.73,1,420,0.363
Completed,0.73,2,3964,0.787
Completed,0.73,2,3837,0.328
Completed,0.73,2,546,0.775
Completed,0.73,2,1760,0.085
Completed,0.73,2,2608,0.503
Completed,0.73,2,3422,0.147
Completed,0.73,2,2201,0.688
Completed,0.73,2,963,0.388
Completed,0.73,1,4666,0.961
Completed,0.73,3,4771,0.033
Completed,0.73,2,857,0.614
Completed,0.73,1,2075,0.306
Completed,0.73,1,3548,0.855
Completed,0.73,2,3108,0.495
Completed,0.73,1,1260,0.921
Completed,0.73,1,28,0.223
Completed,0.73,2,4355,0.678
Completed,0.73,2,4289,0.461
Completed,0.73,1,79,0.877
Completed,0.73,2,1365,0.203
Completed,0.73,2,3018,0.652
Completed,0.74,3,3453,0.014
Completed,0.73,1,2175,0.586
Completed,0.73,2,913,0.27
Completed,0.73,1,4710,0.813
Completed,0.73,2,4605,0.181
Completed,0.73,2,1019,0.732
Completed,0.73,1,2301,0.408
Completed,0.73,1,3327,0.988
Completed,0.73,1,2518,0.346
Completed,0.73,1,1865,0.803
Completed,0.73,2,598,0.121
Completed,0.73,2,3771,0.545
Completed,0.73,3,4054,0.071
Completed,0.73,1,314,0.518
Completed,0.73,2,1601,0.343
Completed,0.73,2,2781,0.761
Completed,0.73,2,3220,0.404
Completed,0.73,1,2408,0.945
Completed,0.73,2,1146,0.13
Completed,0.73,2,4478,0.704
Completed,0.73,2,4993,0.29
Completed,0.73,1,630,0.872
Completed,0.73,2,1911,0.049
Completed,0.73,2,3717,0.598
Completed,0.73,2,2910,0.237
Completed,0.73,2,1473,0.663
Completed,0.73,1,206,0.48
Completed,0.73,1,4162,0.935
Completed,0.73,2,4144,0.099
Completed,0.73,2,226,0.548
Completed,0.73,2,1454,0.373
Completed,0.73,2,2929,0.789
Completed,0.73,2,3736,0.436
Completed,0.73,1,1892,0.979
Completed,0.73,2,649,0.165
Completed,0.73,2,4975,0.736
Completed,0.73,2,4458,0.262
Completed,0.73,1,1166,0.841
Completed,0.73,2,2389,0.019
Completed,0.73,2,3240,0.57
Completed,0.73,2,2802,0.205
Completed,0.73,2,1582,0.629
Completed,0.73,2,335,0.446
Completed,0.73,1,4034,0.903
Completed,0.73,2,3751,0.488
Completed,0.73,1,618,0.907
Completed,0.73,2,1845,0.232
Completed,0.73,2,2538,0.679
Completed,0.73,3,3347,0.047
Completed,0.73,1,2281,0.621
Completed,0.73,2,1039,0.305
Completed,0.73,1,4585,0.846
Completed,0.73,2,4692,0.152
Completed,0.73,2,932,0.701
Completed,0.73,1,2156,0.378
Completed,0.73,2,3473,0.959
Completed,0.73,2,3037,0.315
Completed,0.73,2,1347,0.77
Completed,0.73,1,99,0.087
Completed,0.73,2,4270,0.514
Completed,0.73,2,4375,0.357
Completed,0.73,1,8,0.806
Completed,0.73,2,1281,0.116
Completed,0.73,2,3088,0.532
Completed,0.73,2,3529,0.179
Completed,0.73,1,2095,0.722
Completed,0.73,2,837,0.421
Completed,0.73,1,4792,0.993
Completed,0.74,6,4685,0.005
Completed,0.73,2,944,0.584
Completed,0.73,1,2220,0.276
Completed,0.73,1,3404,0.827
Completed,0.73,2,2589,0.462
Completed,0.73,1,1779,0.886
Completed,0.73,2,528,0.189
Completed,0.73,2,3856,0.645
Completed,0.73,2,3983,0.247
Completed,0.73,2,401,0.666
Completed,0.73,2,1672,0.475
Completed,0.73,1,2697,0.922
Completed,0.73,2,3140,0.288
Completed,0.73,1,2484,0.862
Completed,0.73,2,1227,0.062
Completed,0.73,2,4402,0.604
Completed,0.73,2,4919,0.394
Completed,0.73,1,710,0.943
Completed,0.73,2,1988,0.136
Completed,0.73,2,3636,0.718
Completed,0.73,2,2824,0.072
Completed,0.73,2,1544,0.527
Completed,0.73,2,292,0.329
Completed,0.73,2,4092,0.755
Completed,0.73,2,4129,0.413
Completed,0.73,1,250,0.987
Completed,0.73,2,1508,0.188
Completed,0.73,2,2866,0.729
Completed,0.73,2,3595,0.122
Completed,0.73,1,2024,0.54
Completed,0.73,2,752,0.349
Completed,0.73,1,4882,0.796
Completed,0.73,2,4443,0.198
Completed,0.73,2,1191,0.653
Completed,0.73,1,2442,0.454
Completed,0.73,2,3177,0.88
Completed,0.73,2,2660,0.269
Completed,0.73,1,1714,0.818
Completed,0.73,2,437,0.011
Completed,0.73,2,3941,0.593
Completed,0.73,3,3893,0.054
Completed,0.73,1,486,0.597
Completed,0.73,2,1743,0.297
Completed,0.73,1,2631,0.869
Completed,0.73,2,3362,0.481
Completed,0.73,1,2257,0.93
Completed,0.73,2,986,0.24
Completed,0.73,2,4648,0.656
Completed,0.73,2,4833,0.338
Completed,0.73,2,801,0.762
Completed,0.73,1,2054,0.064
Completed,0.73,2,3565,0.521
Completed,0.73,2,3051,0.129
Completed,0.73,2,1322,0.709
Completed,0.73,1,45,0.401
Completed,0.73,1,4334,0.952
Completed,0.73,2,4234,0.171
Completed,0.73,1,140,0.745
Completed,0.73,2,1383,0.429
Completed,0.73,1,2995,0.97
Completed,0.73,2,3514,0.364
Completed,0.73,1,2119,0.783
Completed,0.73,2,891,0.108
Completed,0.73,2,4728,0.555
Completed,0.73,2,4543,0.439
Completed,0.73,1,1076,0.894
Completed,0.73,1,2323,0.212
Completed,0.73,2,3311,0.638
Completed,0.73,2,2575,0.028
Completed,0.73,2,1804,0.577
Completed,0.73,2,581,0.253
Completed,0.73,1,3793,0.835
