Status,ACCURACY,RUNTIME,recent_samples_size,delta
Completed,0.55,6,4935,0.196
Completed,0.55,4,3943,0.504
Completed,0.55,5,1809,0.046
Completed,0.55,4,1,0.917
Completed,0.55,4,29,0.001
Completed,0.55,4,2449,0.818
Completed,0.55,4,4110,0.878
Completed,0.55,5,3631,0.774
Completed,0.55,5,2586,0.989
Completed,0.55,4,4778,0.298
Completed,0.55,4,2224,0.955
Completed,0.55,4,4465,0.497
Completed,0.55,4,4100,0.805
Completed,0.55,6,3250,0.916
Completed,0.55,4,235,0.319
Completed,0.55,5,2995,0.851
Completed,0.55,4,2413,0.459
Completed,0.55,4,1000,0.38
Completed,0.55,4,1696,0.542
Completed,0.55,4,3819,0.006
Completed,0.55,4,4824,0.689
Completed,0.55,4,1948,0.234
Completed,0.55,4,125,0.813
Completed,0.55,4,2873,0.358
Completed,0.55,4,1341,0.273
Completed,0.55,5,650,0.68
Completed,0.55,6,3517,0.148
Completed,0.55,4,3718,0.64
Completed,0.55,4,843,0.186
Completed,0.55,6,1543,0.767
Completed,0.55,4,4292,0.313
Completed,0.55,5,2069,0.728
Completed,0.55,4,2051,0.372
Completed,0.55,4,3774,0.425
Completed,0.55,5,392,0.999
Completed,0.55,5,55,0.168
Completed,0.55,5,2702,0.397
Completed,0.55,4,4990,0.757
Completed,0.55,4,1,0.316
Completed,0.55,4,1,0.947
Completed,0.55,4,3371,0.376
Completed,0.55,4,5000,0.858
Completed,0.55,4,55,0.527
Completed,0.55,4,4967,0.451
Completed,0.55,4,1,0.127
Completed,0.55,4,3615,0.464
Completed,0.55,4,1740,0.151
Completed,0.55,4,1,0.877
Completed,0.55,4,2327,0.3
Completed,0.55,4,20,0.26
Completed,0.55,4,1867,0.441
Completed,0.55,4,4981,0.793
Completed,0.55,4,4945,0.9
Completed,0.55,4,3379,0.523
Completed,0.55,5,6,0.838
Completed,0.55,5,1150,0.481
Completed,0.55,4,502,0.972
Completed,0.55,5,3263,0.397
Completed,0.55,4,2117,0.001
Completed,0.55,4,1,0.001
Completed,0.55,4,4955,0.364
Completed,0.55,4,5000,0.001
Completed,0.55,4,3883,0.001
Completed,0.55,4,3490,0.999
Completed,0.55,4,854,0.238
Completed,0.55,5,1,0.042
Completed,0.55,4,4985,0.94
Completed,0.55,4,3571,0.001
Completed,0.55,5,4930,0.497
Completed,0.55,4,4359,0.438
Completed,0.55,4,1465,0.326
Completed,0.55,4,168,0.999
Completed,0.55,4,5000,0.665
Completed,0.55,4,5,0.999
Completed,0.55,4,1477,0.097
Completed,0.55,4,1221,0.225
Completed,0.55,4,5000,0.831
Completed,0.55,4,4,0.634
Completed,0.55,4,656,0.927
Completed,0.55,5,2924,0.526
Completed,0.55,4,625,0.15
Completed,0.55,5,1622,0.001
Completed,0.55,4,39,0.44
Completed,0.55,4,1321,0.001
Completed,0.55,4,4971,0.999
Completed,0.55,5,4208,0.465
Completed,0.55,4,5000,0.898
Completed,0.55,4,1666,0.194
Completed,0.55,4,19,0.759
Completed,0.55,4,4993,0.71
Completed,0.55,5,4974,0.999
Completed,0.55,5,4604,0.001
Completed,0.55,4,2808,0.308
Completed,0.55,5,4196,0.001
Completed,0.55,5,2660,0.267
Completed,0.55,4,1217,0.149
Completed,0.55,4,1,0.969
Completed,0.55,4,1906,0.11
Completed,0.55,5,744,0.999
Completed,0.55,4,4773,0.999
Completed,0.55,4,4755,0.001
Completed,0.55,4,4923,0.97
Completed,0.55,4,4958,0.328
Completed,0.55,5,770,0.242
Completed,0.55,5,1195,0.186
Completed,0.55,4,1,0.366
Completed,0.55,4,1523,0.232
Completed,0.55,4,1830,0.297
Completed,0.55,4,2235,0.266
Completed,0.55,5,64,0.001
Completed,0.55,4,4153,0.887
Completed,0.55,4,5000,0.778
Completed,0.55,4,3194,0.999
Completed,0.55,5,371,0.236
Completed,0.55,4,1,0.705
Completed,0.55,4,1,0.551
Completed,0.55,4,4008,0.999
Completed,0.55,4,4402,0.917
Completed,0.55,4,167,0.108
Completed,0.55,4,4130,0.995
Completed,0.55,4,3363,0.416
Completed,0.55,4,2341,0.562
Completed,0.55,4,1585,0.268
Completed,0.55,4,2715,0.632
Completed,0.55,4,4800,0.209
Completed,0.55,4,906,0.815
Completed,0.55,4,1012,0.482
Completed,0.55,4,4535,0.62
Completed,0.55,4,2958,0.041
Completed,0.55,4,1495,0.936
Completed,0.55,4,2077,0.142
Completed,0.55,4,3472,0.756
Completed,0.55,4,4043,0.333
Completed,0.55,4,413,0.69
Completed,0.55,4,483,0.373
Completed,0.55,4,3816,0.729
Completed,0.55,4,3674,0.182
Completed,0.55,4,2031,0.796
Completed,0.55,4,1273,0.002
Completed,0.55,4,3023,0.897
Completed,0.55,4,4484,0.443
Completed,0.55,4,1219,0.581
Completed,0.55,4,703,0.248
Completed,0.55,4,4846,0.854
Completed,0.55,4,2644,0.307
Completed,0.55,4,1811,0.671
Completed,0.55,4,2391,0.377
Completed,0.55,4,3155,0.523
Completed,0.55,5,4351,0.069
Completed,0.55,5,101,0.956
Completed,0.55,6,8,0.435
Completed,0.55,4,4289,0.542
Completed,0.55,4,3219,0.119
Completed,0.55,4,2485,0.983
Completed,0.55,4,1758,0.189
Completed,0.55,5,2541,0.835
