Status,ACCURACY,RUNTIME,recent_samples_size,delta
Completed,0.31,61,1437,0.98
Completed,0.52,123,4000,0.058
Completed,0.33,51,2036,0.025
Completed,0.31,14,1,0.061
Completed,0.47,78,176,0.001
Completed,0.54,141,4207,0.059
Completed,0.54,144,3772,0.033
Completed,0.5,112,5000,0.103
Completed,0.57,175,1742,0.001
Completed,0.31,25,1,0.495
Completed,0.59,182,1230,0.001
Completed,0.58,181,5000,0.012
Completed,0.33,63,5000,0.755
Completed,0.31,19,1,0.026
Completed,0.56,178,3548,0.009
Completed,0.52,123,4281,0.082
Completed,0.51,128,662,0.017
Completed,0.4,90,4659,0.173
Completed,0.31,66,4103,0.788
Completed,0.3,28,34,0.672
Completed,0.35,64,3256,0.481
Completed,0.32,57,3391,0.638
Completed,0.29,61,2464,0.775
Completed,0.31,71,4487,0.955
Completed,0.31,61,1056,0.567
Completed,0.35,63,2835,0.275
Completed,0.29,60,2700,0.845
Completed,0.47,88,883,0.061
Completed,0.3,62,1750,0.74
Completed,0.37,72,4973,0.416
Completed,0.35,62,3791,0.56
Completed,0.48,102,5000,0.059
Completed,0.4,90,5000,0.217
Completed,0.3,39,82,0.999
Completed,0.39,74,1003,0.128
Completed,0.6,212,4449,0.001
Completed,0.48,88,3898,0.15
Completed,0.5,99,4133,0.099
Completed,0.57,146,872,0.001
Completed,0.34,72,2383,0.127
Completed,0.36,62,705,0.139
Completed,0.29,58,1356,0.683
Completed,0.37,83,4580,0.198
Completed,0.33,60,4915,0.999
Completed,0.4,77,1005,0.09
Completed,0.36,59,249,0.126
Completed,0.51,104,4501,0.105
Completed,0.57,174,4515,0.019
Completed,0.35,103,1089,0.24
Completed,0.45,86,4723,0.138
Completed,0.35,92,1769,0.187
Completed,0.56,147,987,0.001
Completed,0.53,121,793,0.014
Completed,0.34,61,873,0.198
Completed,0.45,97,4121,0.138
Completed,0.45,89,1139,0.073
Completed,0.37,67,4197,0.531
Completed,0.4,84,4989,0.161
Completed,0.4,64,433,0.07
Completed,0.33,62,301,0.073
Completed,0.36,67,4979,0.617
Completed,0.33,52,3236,0.425
Completed,0.43,72,538,0.062
Completed,0.31,63,3718,0.999
Completed,0.49,98,3919,0.108
Completed,0.44,94,3531,0.101
Completed,0.31,42,35,0.599
Completed,0.31,16,1,0.042
