Status,ACCURACY,RUNTIME,recent_samples_size,delta
Completed,0.13,1616,484,0.001
Completed,0.05,265,1,0.691
Completed,0.16,1767,754,0.001
Completed,0.05,309,1,0.999
Completed,0.06,1207,4298,0.311
Completed,0.05,435,294,0.001
Completed,0.05,241,1,0.263
Completed,0.05,1381,483,0.449
Completed,0.05,1098,179,0.316
Completed,0.04,1258,373,0.745
Completed,0.05,1433,4985,0.66
Completed,0.12,1772,413,0.001
Completed,0.17,2194,925,0.001
Completed,0.05,254,1,0.747
Completed,0.04,1059,814,0.47
Completed,0.06,1241,4388,0.366
Completed,0.05,1510,3484,0.999
Completed,0.17,2561,3216,0.001
Completed,0.06,1829,3704,0.305
Completed,0.19,2863,3044,0.001
Completed,0.06,264,1,0.599
Completed,0.05,1390,309,0.45
Completed,0.05,227,1,0.516
Completed,0.05,1632,3032,0.941
Completed,0.06,1522,3775,0.834
Completed,0.05,285,1,0.227
Completed,0.05,1177,2117,0.999
Completed,0.05,1536,427,0.659
Completed,0.04,251,1,0.359
Completed,0.15,2073,823,0.001
Completed,0.17,1897,1033,0.001
Completed,0.17,2166,2553,0.001
Completed,0.05,1337,1026,0.345
Completed,0.05,1519,1339,0.588
Completed,0.06,1424,2437,0.027
Completed,0.05,1387,1610,0.918
Completed,0.05,1605,3367,0.528
Completed,0.17,1836,694,0.001
Completed,0.08,1316,2525,0.018
Completed,0.05,236,1,0.881
Completed,0.05,1664,4616,0.844
Completed,0.04,526,72,0.655
Completed,0.05,1363,3176,0.379
Completed,0.06,1387,1220,0.359
Completed,0.05,1416,1836,0.643
Completed,0.05,511,143,0.001
Completed,0.04,1363,2137,0.744
Completed,0.06,1261,3894,0.475
Completed,0.05,1738,3603,0.597
Completed,0.04,1275,107,0.603
Completed,0.18,2077,1176,0.001
Completed,0.18,2200,1089,0.001
Completed,0.18,1989,1007,0.001
Completed,0.23,2786,3964,0.001
Completed,0.06,1488,4172,0.438
Completed,0.18,1936,888,0.001
Completed,0.05,1258,1510,0.96
Completed,0.05,1002,4703,0.542
Completed,0.05,880,1140,0.412
Completed,0.06,1421,4617,0.384
Completed,0.14,1555,473,0.001
Completed,0.04,1343,2465,0.934
Completed,0.06,1229,206,0.001
Completed,0.05,266,1,0.304
Completed,0.05,261,1,0.471
Completed,0.05,830,284,0.001
Completed,0.07,1435,4545,0.28
Completed,0.16,1844,2698,0.001
Completed,0.05,225,1,0.928
Completed,0.16,1824,2860,0.001
Completed,0.06,1432,1193,0.272
Completed,0.05,239,1,0.547
Completed,0.05,271,1,0.619
Completed,0.06,1440,3688,0.112
Completed,0.05,1382,188,0.001
Completed,0.09,1494,312,0.001
Completed,0.05,342,248,0.001
Completed,0.05,724,500,0.001
Completed,0.06,1550,3917,0.927
Completed,0.05,259,1,0.661
Completed,0.04,1440,2151,0.959
Completed,0.04,1478,171,0.236
Completed,0.05,1495,1137,0.448
Completed,0.16,1812,611,0.001
Completed,0.16,1924,537,0.001
Completed,0.07,1364,1857,0.557
Completed,0.18,2130,1061,0.001
Completed,0.04,1070,1814,0.874
Completed,0.06,240,1,0.849
Completed,0.14,1733,438,0.001
Completed,0.04,1566,2303,0.999
Completed,0.05,1612,4261,0.267
Completed,0.04,1462,1228,0.999
Completed,0.14,1601,428,0.001
Completed,0.17,1703,642,0.001
Completed,0.16,1916,806,0.001
Completed,0.05,1381,3050,0.439
Completed,0.16,1623,401,0.001
Completed,0.04,1382,2140,0.24
Completed,0.05,1349,2443,0.436
Completed,0.05,1496,4417,0.714
Completed,0.05,1087,157,0.811
Completed,0.05,1162,4556,0.691
Completed,0.08,1528,257,0.001
Completed,0.04,1294,154,0.001
Completed,0.05,1345,1941,0.421
Completed,0.05,1407,4132,0.344
Completed,0.2,3131,4223,0.001
Completed,0.04,1394,3357,0.749
Completed,0.05,985,1489,0.632
Completed,0.04,669,185,0.427
Completed,0.06,1351,3615,0.513
Completed,0.05,231,1,0.779
Completed,0.2,2873,4018,0.001
Completed,0.16,2018,950,0.001
Completed,0.17,1851,906,0.001
Completed,0.1,1493,376,0.001
Completed,0.2,2696,4908,0.001
Completed,0.15,1735,2740,0.001
Completed,0.18,2067,737,0.001
Completed,0.16,1811,599,0.001
Completed,0.04,1298,1415,0.72
Completed,0.05,1345,144,0.532
Completed,0.11,1353,348,0.001
Completed,0.03,1358,129,0.001
Completed,0.04,1446,242,0.843
Completed,0.05,259,1,0.961
Completed,0.18,1912,871,0.001
Completed,0.04,1433,136,0.753
Completed,0.04,1549,254,0.517
Completed,0.04,1590,427,0.999
Completed,0.05,1311,1500,0.514
Completed,0.05,1312,2102,0.848
Completed,0.06,245,1,0.714
Completed,0.05,729,296,0.999
Completed,0.14,1585,462,0.001
Completed,0.06,1356,4537,0.529
Completed,0.05,666,239,0.001
Completed,0.04,1347,201,0.61
Completed,0.08,1702,274,0.001
Completed,0.05,555,108,0.487
Completed,0.11,1567,2628,0.013
Completed,0.04,952,4586,0.999
Completed,0.06,1427,4416,0.616
Completed,0.06,1244,4638,0.421
Completed,0.19,2232,3480,0.001
Completed,0.04,1349,2977,0.607
Completed,0.05,1385,2868,0.528
Completed,0.06,1464,4763,0.469
Completed,0.05,270,1,0.397
Completed,0.08,1687,2371,0.01
Completed,0.06,1334,4689,0.331
Completed,0.05,400,165,0.001
Completed,0.23,2683,3645,0.001
Completed,0.04,893,4416,0.999
Completed,0.06,1537,5000,0.458
Completed,0.05,239,1,0.446
Completed,0.04,1626,2363,0.69
Completed,0.05,1459,2683,0.268
Completed,0.05,1278,888,0.263
Completed,0.13,1629,2491,0.001
Completed,0.04,1475,139,0.346
Completed,0.04,825,4632,0.94
Completed,0.17,1980,2665,0.001
Completed,0.08,1644,2282,0.008
Completed,0.05,1394,1431,0.839
Completed,0.05,1239,3788,0.363
Completed,0.06,1286,3288,0.248
Completed,0.04,1958,3785,0.431
Completed,0.12,1402,355,0.001
Completed,0.05,532,2685,0.182
Completed,0.05,1526,1503,0.769
Completed,0.06,1415,4776,0.801
Completed,0.04,1064,1129,0.58
Completed,0.18,1829,680,0.001
Completed,0.2,2053,2897,0.001
Completed,0.05,338,194,0.001
Completed,0.17,1783,2814,0.001
Completed,0.06,1827,4301,0.82
Completed,0.04,1318,1243,0.48
Completed,0.16,1826,571,0.001
Completed,0.05,1067,961,0.389
Completed,0.05,1469,4503,0.839
Completed,0.05,242,1,0.15
Completed,0.21,2434,3242,0.001
Completed,0.19,2455,3314,0.001
Completed,0.05,1403,2742,0.371
Completed,0.05,1511,2626,0.228
Completed,0.15,1791,2589,0.001
Completed,0.05,1640,3891,0.868
Completed,0.06,1759,4344,0.933
Completed,0.17,1932,847,0.001
Completed,0.05,1274,3141,0.87
Completed,0.04,697,86,0.438
Completed,0.04,1637,2399,0.776
Completed,0.16,2009,772,0.001
Completed,0.04,737,174,0.267
Completed,0.19,2348,3102,0.001
Completed,0.05,1541,1286,0.84
Completed,0.05,1475,3224,0.909
Completed,0.04,825,1130,0.308
Completed,0.05,783,2011,0.472
Completed,0.04,684,3409,0.321
Completed,0.18,2433,709,0.001
Completed,0.06,1450,217,0.001
Completed,0.05,2024,4762,0.886
Completed,0.04,1515,124,0.88
Completed,0.2,2511,3384,0.001
Completed,0.2,2324,3183,0.001
Completed,0.19,2071,965,0.001
Completed,0.05,1247,3467,0.958
Completed,0.05,420,270,0.001
Completed,0.05,1419,2951,0.235
Completed,0.05,248,1,0.907
Completed,0.05,1728,1568,0.999
Completed,0.05,205,1,0.181
Completed,0.15,1874,2519,0.001
Completed,0.13,1627,420,0.001
Completed,0.21,2538,3518,0.001
Completed,0.06,1464,891,0.325
Completed,0.06,1638,182,0.001
Completed,0.2,2688,4821,0.001
Completed,0.1,1469,395,0.001
Completed,0.1,1463,339,0.001
Completed,0.06,1375,4546,0.33
Completed,0.08,1584,279,0.001
Completed,0.05,1481,3074,0.536
Completed,0.05,633,2197,0.52
Completed,0.05,269,1,0.866
Completed,0.05,1444,4838,0.349
Completed,0.04,1500,3018,0.999
Completed,0.04,976,51,0.806
Completed,0.05,263,1,0.984
Completed,0.11,1559,2400,0.001
Completed,0.04,701,77,0.201
Completed,0.07,1612,4711,0.578
Completed,0.2,3075,4067,0.001
Completed,0.2,2200,2992,0.001
Completed,0.05,1437,3441,0.569
Completed,0.04,1408,173,0.2
Completed,0.19,2187,991,0.001
Completed,0.05,1474,2427,0.494
Completed,0.18,1971,729,0.001
Completed,0.05,1376,3185,0.276
Completed,0.04,1200,69,0.748
Completed,0.11,1588,371,0.001
Completed,0.17,1807,2762,0.001
Completed,0.06,1380,3231,0.433
Completed,0.05,225,1,0.214
Completed,0.05,1218,1679,0.578
Completed,0.1,1528,2305,0.001
Completed,0.05,1581,1802,0.607
Completed,0.21,2326,3134,0.001
Completed,0.04,1045,226,0.17
Completed,0.05,219,1,0.123
Completed,0.05,526,2180,0.601
Completed,0.05,1453,1638,0.481
Completed,0.05,1763,1750,0.735
Completed,0.05,1449,3501,0.865
Completed,0.05,1509,1102,0.506
Completed,0.06,234,1,0.381
Completed,0.06,1372,1988,0.578
Completed,0.07,1397,1932,0.326
Completed,0.04,1138,91,0.573
Completed,0.04,1439,1117,0.665
Completed,0.05,1238,914,0.427
Completed,0.05,245,1,0.163
Completed,0.05,239,1,0.498
Completed,0.19,2040,938,0.001
Completed,0.15,1539,2607,0.001
Completed,0.06,1413,1674,0.347
Completed,0.05,247,1,0.29
