Status,ACCURACY,RUNTIME,recent_samples_size,delta
Completed,0.73,5,1134,0.396
Completed,0.73,4,4501,0.928
Completed,0.72,13,4231,0.047
Completed,0.71,4,94,0.513
Completed,0.71,4,3758,0.953
Completed,0.71,5,5000,0.999
Completed,0.73,5,1471,0.861
Completed,0.62,5,402,0.49
Completed,0.73,4,2598,0.617
Completed,0.7,9,3032,0.051
Completed,0.7,5,3746,0.484
Completed,0.72,5,4917,0.654
Completed,0.7,5,778,0.185
Completed,0.73,4,1456,0.872
Completed,0.7,5,2948,0.344
Completed,0.71,5,2521,0.615
Completed,0.73,7,1825,0.083
Completed,0.71,5,1947,0.95
Completed,0.7,8,292,0.013
Completed,0.73,5,4114,0.545
Completed,0.72,4,220,0.935
Completed,0.73,5,3847,0.679
Completed,0.73,5,3857,0.257
Completed,0.72,5,491,0.786
Completed,0.7,6,2272,0.223
Completed,0.73,5,3284,0.693
Completed,0.72,5,3167,0.196
Completed,0.72,5,2470,0.724
Completed,0.72,5,374,0.286
Completed,0.73,5,4049,0.756
Completed,0.72,5,4616,0.429
Completed,0.73,4,1706,0.584
Completed,0.71,5,1915,0.508
Completed,0.71,4,1,0.398
Completed,0.73,5,3474,0.847
Completed,0.72,4,1243,0.616
Completed,0.71,4,1,0.913
Completed,0.71,5,5000,0.314
Completed,0.73,4,3212,0.904
Completed,0.73,5,1543,0.515
Completed,0.72,4,886,0.611
Completed,0.73,5,1605,0.644
Completed,0.73,5,4948,0.54
Completed,0.73,5,591,0.458
Completed,0.73,6,1390,0.558
Completed,0.69,4,2281,0.483
Completed,0.68,5,3763,0.331
Completed,0.73,4,1022,0.56
Completed,0.71,4,10,0.449
Completed,0.68,4,420,0.999
Completed,0.72,5,3447,0.902
Completed,0.71,3,1,0.17
Completed,0.71,3,1,0.295
Completed,0.73,4,3480,0.867
Completed,0.71,4,4558,0.321
Completed,0.73,6,3187,0.816
Completed,0.73,5,753,0.563
Completed,0.69,4,1069,0.999
Completed,0.72,4,108,0.229
Completed,0.71,3,1,0.215
Completed,0.73,4,1701,0.915
Completed,0.71,4,1,0.606
Completed,0.72,4,84,0.255
Completed,0.72,5,457,0.346
Completed,0.71,4,1723,0.999
Completed,0.72,4,1802,0.894
Completed,0.72,4,1674,0.937
Completed,0.7,3,1,0.246
Completed,0.7,4,617,0.243
Completed,0.68,4,5,0.197
Completed,0.71,4,26,0.951
Completed,0.71,5,50,0.637
Completed,0.73,5,3963,0.649
Completed,0.73,5,4966,0.434
Completed,0.71,3,4,0.57
Completed,0.69,5,801,0.275
Completed,0.72,4,551,0.641
Completed,0.72,5,4998,0.773
Completed,0.71,4,1691,0.967
Completed,0.71,3,1,0.344
Completed,0.72,4,115,0.862
Completed,0.71,4,1,0.743
Completed,0.73,5,1067,0.852
Completed,0.69,6,4861,0.478
Completed,0.69,5,4369,0.602
Completed,0.73,4,395,0.681
Completed,0.73,5,1081,0.464
Completed,0.71,3,3,0.272
Completed,0.73,4,3722,0.825
Completed,0.72,5,4089,0.856
Completed,0.72,5,1113,0.713
Completed,0.72,4,310,0.559
Completed,0.68,4,70,0.312
Completed,0.73,5,854,0.765
Completed,0.73,5,3561,0.796
Completed,0.72,5,4234,0.828
Completed,0.71,4,184,0.341
Completed,0.69,5,178,0.391
Completed,0.71,5,374,0.487
Completed,0.72,4,2460,0.91
Completed,0.73,4,3726,0.846
Completed,0.73,5,3335,0.607
Completed,0.73,4,747,0.648
Completed,0.73,5,757,0.72
Completed,0.72,5,372,0.606
Completed,0.71,3,1,0.831
Completed,0.73,5,975,0.794
Completed,0.72,4,387,0.421
Completed,0.73,4,1775,0.865
Completed,0.73,4,1507,0.844
Completed,0.72,4,1747,0.705
Completed,0.73,4,3780,0.807
Completed,0.73,4,3457,0.577
Completed,0.71,5,603,0.842
Completed,0.73,5,3420,0.831
Completed,0.7,5,611,0.525
Completed,0.73,5,1252,0.669
Completed,0.7,5,2058,0.913
Completed,0.71,4,1,0.796
Completed,0.67,5,2958,0.511
Completed,0.71,3,1,0.525
Completed,0.73,4,4477,0.803
Completed,0.71,3,1,0.868
Completed,0.73,4,4108,0.795
Completed,0.72,4,2143,0.795
Completed,0.71,4,2448,0.427
Completed,0.67,6,2658,0.543
Completed,0.73,5,3002,0.458
Completed,0.71,3,1,0.85
Completed,0.71,5,1,0.89
Completed,0.72,5,4948,0.713
Completed,0.69,4,2699,0.952
Completed,0.69,6,2770,0.493
Completed,0.71,3,1,0.184
Completed,0.71,4,1,0.775
Completed,0.68,5,3044,0.559
Completed,0.72,5,4535,0.824
Completed,0.71,3,4,0.367
Completed,0.72,5,1805,0.759
Completed,0.72,4,466,0.923
Completed,0.73,5,4571,0.708
Completed,0.72,5,2158,0.657
Completed,0.73,5,4935,0.805
Completed,0.71,4,2092,0.826
Completed,0.72,5,4406,0.77
Completed,0.72,5,4304,0.847
Completed,0.73,5,3048,0.929
Completed,0.72,4,2122,0.751
Completed,0.7,6,2438,0.358
Completed,0.73,5,3768,0.688
Completed,0.73,5,3593,0.634
Completed,0.72,5,1554,0.899
Completed,0.73,5,2936,0.871
Completed,0.73,5,3983,0.707
Completed,0.73,4,1343,0.91
Completed,0.68,6,4604,0.385
Completed,0.69,4,2074,0.337
Completed,0.72,5,3173,0.247
Completed,0.73,4,215,0.732
Completed,0.69,4,333,0.885
Completed,0.7,5,3769,0.231
Completed,0.72,4,287,0.585
Completed,0.73,4,3250,0.871
Completed,0.72,4,3561,0.882
Completed,0.69,5,1647,0.435
