Status,ACCURACY,RUNTIME,recent_samples_size,delta
Completed,0.59,74,2509,0.806
Completed,0.65,126,3362,0.866
Completed,0.71,110,3069,0.471
Completed,0.59,91,2905,0.984
Completed,0.74,148,2699,0.059
Completed,0.64,80,335,0.563
Completed,0.68,118,2476,0.308
Completed,0.74,144,3418,0.335
Completed,0.49,54,2054,0.667
Completed,0.66,127,291,0.217
Completed,0.71,101,4462,0.928
Completed,0.83,198,4747,0.271
Completed,0.68,128,490,0.004
Completed,0.57,75,2319,0.867
Completed,0.71,162,4640,0.254
Completed,0.68,118,4215,0.911
Completed,0.71,151,1504,0.468
Completed,0.66,128,1051,0.794
Completed,0.82,278,1766,0.085
Completed,0.65,143,3777,0.544
Completed,0.77,260,4904,0.137
Completed,0.69,128,1878,0.734
Completed,0.62,72,304,0.387
Completed,0.64,92,2542,0.617
Completed,0.72,123,3062,0.425
Completed,0.71,134,4484,0.812
Completed,0.69,138,4371,0.475
Completed,0.64,95,1347,0.903
Completed,0.67,125,847,0.226
Completed,0.7,117,3446,0.654
Completed,0.8,205,3602,0.218
Completed,0.73,129,1099,0.308
Completed,0.85,329,1612,0.001
Completed,0.65,89,148,0.258
Completed,0.89,295,3752,0.001
Completed,0.8,150,312,0.001
Completed,0.86,189,3030,0.001
Completed,0.81,171,1243,0.196
Completed,0.71,109,298,0.114
Completed,0.75,153,4075,0.105
Completed,0.66,95,1835,0.999
Completed,0.85,182,1234,0.001
Completed,0.26,57,2019,0.999
Completed,0.57,78,909,0.999
Completed,0.57,75,141,0.655
Completed,0.85,164,3569,0.001
Completed,0.66,77,178,0.182
Completed,0.84,161,1492,0.001
Completed,0.81,159,4049,0.396
Completed,0.71,99,3249,0.999
Completed,0.89,557,4070,0.001
Completed,0.45,60,45,0.813
Completed,0.57,58,143,0.422
Completed,0.79,152,1320,0.284
Completed,0.7,96,3285,0.833
Completed,0.57,68,70,0.225
Completed,0.84,174,1137,0.001
Completed,0.68,116,4615,0.999
Completed,0.68,112,4015,0.999
Completed,0.63,142,2963,0.155
Completed,0.77,219,1838,0.001
Completed,0.78,154,1792,0.352
Completed,0.73,109,1758,0.999
Completed,0.64,97,1187,0.999
Completed,0.49,53,58,0.999
