index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,n_samples,const,max_depth,threshold
0,0.2564601790328534,0.9550564437481068,5.0,4029.0,0.0080645896161095,1.0,0.4055222483065578
1,0.2580189372965535,0.9490614115321132,99.0,4291.0,2.1113954102890604,1.0,0.4112968185123062
2,0.259189911993691,0.9472302125797358,99.0,4291.0,4.813823825517298,1.0,0.4112968185123062
3,0.275977126609394,0.945043124841968,144.0,4080.0,0.085327347691432,1.0,0.4494424511903264
4,0.2762605225846504,0.9408874661247836,263.0,4326.0,0.0937815741468221,1.0,0.3291011303700507
5,0.2770119131514479,0.9388269382060352,276.0,4439.0,0.2497098167799413,1.0,0.4511374178156256
6,0.277075589784892,0.9370193233498664,362.0,4484.0,0.1243050243064041,1.0,0.4154234718939573
7,0.2827515227021039,0.9335516993737956,549.0,4442.0,1.4085729214202,1.0,0.4010364700959921
8,0.328724025974026,0.9104035982971952,822.0,3384.0,4.708387077287907,1.0,0.6423799555716054
9,0.3372539200140942,0.8974331367587901,1345.0,3384.0,4.708387077287907,1.0,0.4112968185123062
10,0.4092685422888911,0.8189693384891215,89.0,592.0,7.155957852714696,1.0,0.8252345876488835
11,0.470158932268585,0.785918631824774,159.0,330.0,1.7862365776854492,1.0,0.8785293561923168
12,0.5050808152119198,0.7819960867330815,99.0,211.0,2.800055407203992,1.0,0.8120695047622438
13,0.5794121011519932,0.733764678397636,127.0,121.0,3.380578305642121,1.0,0.8545417251493782
14,0.6031553415060948,0.7279191338899974,259.0,135.0,6.167314334790003,1.0,0.7934152071193052
15,0.6064760074043974,0.7212040589789672,356.0,130.0,5.791857682542449,1.0,0.7977157394140288
16,0.6174267621334224,0.7046883992644015,399.0,126.0,6.261877269381325,1.0,0.7753029574051657
17,0.62287007855409,0.6891094910052838,2097.0,170.0,1.0247494646132504,1.0,0.7981174051665506
18,0.6609416137160581,0.6233440178139759,3353.0,170.0,4.813823825517298,1.0,0.7222197591272375
19,0.6856189010981417,0.6011250761442991,3473.0,117.0,2.31728836650122,1.0,0.7816626084949821
