index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,n_samples,const,max_depth,threshold
0,0.2235254765959707,0.8986746266033182,20.0,4819.0,0.0229881430314853,1.0,0.7025133607331664
1,0.2434239154068368,0.8954110644221555,276.0,4426.0,0.2497098167799413,1.0,0.4511374178156256
2,0.2691669143329754,0.8929452328792358,2216.0,4622.0,0.3795920914420815,1.0,0.4380981624203131
3,0.2833231653816684,0.8904571900587704,2253.0,4358.0,0.0404977655524194,1.0,0.4310959703719071
4,0.2910035648567629,0.8867414452845164,2215.0,4222.0,0.0410840696812504,1.0,0.4622620397155728
5,0.2954982194942225,0.8808936841024826,2038.0,4182.0,0.1425556510360189,1.0,0.3696636753494237
6,0.3037207793955614,0.879275182973915,2195.0,3753.0,0.0400422946458759,1.0,0.3828242166164551
7,0.3125238222829063,0.8770763253921628,2178.0,3420.0,0.0963464516705181,1.0,0.526534719917582
8,0.3293083775881738,0.8767626075873758,2178.0,3245.0,0.0963464516705181,1.0,0.6293237371541576
9,0.329949208131984,0.8701220593898354,1815.0,3420.0,0.0963464516705181,1.0,0.5061492660233362
10,0.3527695581227555,0.8517406113472772,3400.0,3245.0,0.2798369362396477,1.0,0.7644234314243994
11,0.641071495437596,0.7143444754538123,1582.0,307.0,3.8246822361609256,1.0,0.90286582193067
12,0.7120232396629299,0.6372948293167288,2416.0,119.0,0.7853492234800625,1.0,0.7972146564902348
13,0.7647514680490693,0.5537375707720626,2178.0,52.0,5.314974785624845,1.0,0.912542230783112
14,0.7667066888618482,0.5531670778116756,2178.0,52.0,5.314974785624845,1.0,0.9058074047388376
15,0.7676768556459685,0.542097976492655,2222.0,52.0,5.314974785624845,1.0,0.9058074047388376
16,0.7692592538594104,0.5244050090109514,1938.0,43.0,3.777351582978583,1.0,0.9283253845170346
17,0.778456925358233,0.5209383404732248,2186.0,38.0,4.528130355653242,1.0,0.9270271902631284
18,0.7932699384756072,0.4859789081370564,2056.0,7.0,3.575523078888089,1.0,0.9365692823338778
19,0.8029377389272007,0.4223686896970512,2486.0,1.0,4.956226634304457,1.0,0.9376048787990856
