Status,ACCURACY,RUNTIME,recent_samples_size,feature_id,batch_size,divergence,detect_batch,statistic,significance,subsets
Completed,0.03,1483,1673,2,4527,str('H'),2,str('stdev'),0.061,71
Completed,0.04,1529,4591,4,1285,str('KL'),1,str('tstat'),0.946,20
Completed,0.03,1224,4472,2,3147,str('H'),3,str('stdev'),0.571,74
Completed,0.09,692,1764,3,139,str('KL'),1,str('tstat'),0.434,25
Completed,0.03,1291,815,0,3986,str('H'),1,str('tstat'),0.928,32
Completed,0.03,1906,2951,2,2073,str('KL'),2,str('stdev'),0.066,83
Completed,0.03,1331,3738,0,683,str('KL'),2,str('stdev'),0.866,47
Completed,0.08,1737,39,3,2596,str('H'),1,str('tstat'),0.129,98
Completed,0.09,737,3406,3,2863,str('H'),2,str('tstat'),0.999,5
Completed,0.06,479,706,3,1985,str('KL'),3,str('tstat'),0.35,1
Completed,0.09,544,4702,3,1025,str('KL'),1,str('tstat'),0.456,32
Completed,0.07,496,375,3,2094,str('KL'),3,str('stdev'),0.598,22
Completed,0.09,618,3093,3,5000,str('KL'),1,str('tstat'),0.001,1
Completed,0.09,578,4645,3,4295,str('KL'),1,str('tstat'),0.442,5
Completed,0.08,474,120,3,4586,str('KL'),3,str('stdev'),0.527,25
Completed,0.08,464,1,3,5000,str('KL'),3,str('tstat'),0.06,1
Completed,0.09,808,1,3,1823,str('KL'),1,str('tstat'),0.999,55
Completed,0.08,1274,1484,3,1871,str('H'),1,str('stdev'),0.604,81
Completed,0.03,1561,1095,1,2906,str('KL'),2,str('stdev'),0.095,63
Completed,0.04,1336,2630,4,992,str('H'),3,str('tstat'),0.894,14
Completed,0.03,1196,3417,2,2388,str('H'),3,str('tstat'),0.158,54
Completed,0.04,1437,318,4,4301,str('KL'),2,str('stdev'),0.833,5
Completed,0.03,1540,2228,1,1561,str('KL'),2,str('tstat'),0.634,58
Completed,0.04,1336,3997,4,4569,str('H'),3,str('stdev'),0.373,9
Completed,0.03,1357,4121,1,1601,str('H'),1,str('stdev'),0.791,42
Completed,0.03,1251,2117,2,4842,str('KL'),3,str('tstat'),0.217,91
Completed,0.03,1235,618,2,1190,str('H'),3,str('tstat'),0.707,53
Completed,0.04,1859,3145,4,3026,str('KL'),1,str('stdev'),0.282,2
Completed,0.03,1512,2682,1,4104,str('KL'),1,str('stdev'),0.521,69
Completed,0.05,1357,1093,4,2267,str('H'),2,str('tstat'),0.47,18
Completed,0.06,471,5000,3,4945,str('H'),3,str('tstat'),0.001,1
Completed,0.08,486,750,3,875,str('KL'),3,str('stdev'),0.554,87
Completed,0.09,2730,2567,3,1,str('H'),2,str('tstat'),0.999,1
Completed,0.09,508,4492,3,5000,str('H'),1,str('tstat'),0.999,18
Completed,0.1,562,3181,3,374,str('H'),1,str('stdev'),0.001,1
Completed,0.09,2802,5000,3,1,str('H'),2,str('tstat'),0.052,1
Completed,0.07,568,1276,3,5000,str('H'),2,str('stdev'),0.999,58
Completed,0.08,523,1947,3,703,str('H'),2,str('tstat'),0.999,20
Completed,0.08,572,5000,3,4777,str('H'),1,str('stdev'),0.999,53
Completed,0.09,555,439,3,3125,str('H'),1,str('stdev'),0.001,29
Completed,0.06,474,4733,3,2543,str('H'),3,str('stdev'),0.999,32
Completed,0.09,2270,4960,3,38,str('KL'),2,str('tstat'),0.999,35
Completed,0.08,607,4382,3,657,str('H'),1,str('stdev'),0.999,37
Completed,0.08,699,2634,3,459,str('KL'),2,str('stdev'),0.999,46
Completed,0.09,682,1,3,24,str('H'),1,str('tstat'),0.999,5
Completed,0.09,1210,5000,3,1208,str('H'),1,str('stdev'),0.001,62
Completed,0.08,3750,5000,3,475,str('KL'),1,str('stdev'),0.999,88
Completed,0.08,1082,1,3,436,str('H'),2,str('stdev'),0.999,59
