Status,ACCURACY,RUNTIME,recent_samples_size,feature_id,batch_size,divergence,detect_batch,statistic,significance,subsets
Completed,0.96,1,825,48,127,str('KL'),3,str('stdev'),0.752,88
Completed,0.96,1,4758,5,4033,str('H'),1,str('tstat'),0.161,23
Completed,0.96,0,3965,42,3630,str('H'),2,str('stdev'),0.9,70
Completed,0.96,1,378,11,2224,str('KL'),3,str('tstat'),0.059,34
Completed,0.96,1,1862,51,2645,str('KL'),2,str('stdev'),0.21,20
Completed,0.96,0,2637,2,1552,str('H'),3,str('tstat'),0.866,84
Completed,0.96,1,3880,9,230,str('KL'),3,str('tstat'),0.806,29
Completed,0.96,1,4984,50,598,str('H'),1,str('stdev'),0.01,49
Completed,0.96,0,648,21,3742,str('KL'),3,str('tstat'),0.851,93
Completed,0.96,0,2122,66,1257,str('H'),2,str('tstat'),0.325,52
Completed,0.96,1,3490,5,4401,str('KL'),2,str('stdev'),0.542,8
Completed,0.96,2,2940,60,3068,str('KL'),1,str('stdev'),0.484,65
Completed,0.96,0,1418,11,1173,str('H'),2,str('tstat'),0.639,20
Completed,0.96,6,2320,30,4781,str('H'),1,str('tstat'),0.782,99
Completed,0.96,1,1159,56,217,str('KL'),1,str('tstat'),0.253,58
Completed,0.96,0,4478,14,3321,str('H'),3,str('stdev'),0.597,2
Completed,0.96,1,1088,50,4699,str('H'),1,str('stdev'),0.384,50
Completed,0.96,0,4996,47,2431,str('KL'),2,str('stdev'),0.002,77
Completed,0.96,0,751,7,3524,str('H'),3,str('tstat'),0.907,16
Completed,0.96,1,2335,59,836,str('KL'),1,str('tstat'),0.67,38
Completed,0.96,0,3403,30,4430,str('H'),3,str('stdev'),0.265,52
Completed,0.96,1,3743,37,1109,str('H'),1,str('stdev'),0.078,37
Completed,0.96,1,1997,17,4704,str('KL'),3,str('tstat'),0.983,73
Completed,0.96,1,1091,67,2157,str('H'),2,str('tstat'),0.718,100
Completed,0.96,1,4658,22,3250,str('KL'),1,str('stdev'),0.314,11
Completed,0.96,1,4201,57,4098,str('KL'),1,str('tstat'),0.617,57
Completed,0.96,4,288,32,504,str('H'),2,str('stdev'),0.462,46
Completed,0.96,0,4625,4,4069,str('H'),2,str('stdev'),0.165,33
Completed,0.96,0,1843,64,2287,str('KL'),3,str('tstat'),0.838,80
Completed,0.96,1,2102,14,500,str('KL'),1,str('stdev'),0.095,11
Completed,0.96,1,4240,62,3689,str('H'),2,str('tstat'),0.892,51
Completed,0.96,0,2420,27,2986,str('H'),2,str('stdev'),0.513,60
Completed,0.96,1,2786,71,2261,str('H'),1,str('stdev'),0.132,22
Completed,0.96,0,1704,19,3667,str('KL'),3,str('tstat'),0.788,83
Completed,0.96,1,135,40,725,str('H'),1,str('tstat'),0.539,59
Completed,0.96,1,4365,13,4632,str('KL'),3,str('stdev'),0.385,45
Completed,0.96,0,4494,50,3022,str('KL'),2,str('tstat'),0.672,98
Completed,0.96,0,1245,3,1616,str('H'),3,str('stdev'),0.268,13
Completed,0.96,0,2156,55,3987,str('KL'),3,str('stdev'),0.031,35
Completed,0.96,4,3594,33,80,str('H'),1,str('tstat'),0.936,74
Completed,0.96,1,3249,40,4339,str('H'),2,str('tstat'),0.748,40
Completed,0.96,1,2498,13,432,str('KL'),1,str('stdev'),0.344,51
Completed,0.96,3,900,63,2671,str('H'),1,str('stdev'),0.079,78
Completed,0.96,0,4837,26,1265,str('KL'),2,str('tstat'),0.985,14
Completed,0.96,1,4039,60,1076,str('KL'),2,str('stdev'),0.196,67
Completed,0.96,1,458,29,4983,str('H'),3,str('tstat'),0.852,31
Completed,0.96,0,1378,48,1910,str('KL'),1,str('tstat'),0.6,5
Completed,0.96,0,3109,5,3315,str('H'),2,str('stdev'),0.445,94
Completed,0.96,0,2880,45,541,str('KL'),3,str('tstat'),0.348,9
Completed,0.96,0,1462,8,4134,str('H'),2,str('stdev'),0.693,95
Completed,0.96,0,532,59,1504,str('KL'),2,str('stdev'),0.947,71
Completed,0.96,1,3801,30,2599,str('H'),1,str('tstat'),0.106,32
Completed,0.96,4,4922,65,4739,str('H'),1,str('stdev'),0.83,86
Completed,0.96,1,671,24,1146,str('KL'),2,str('tstat'),0.238,25
Completed,0.96,1,2261,43,3205,str('H'),2,str('tstat'),0.497,48
Completed,0.96,1,3322,10,2110,str('KL'),1,str('stdev'),0.591,62
Completed,0.96,0,3666,57,3556,str('KL'),3,str('stdev'),0.777,27
Completed,0.96,0,1916,32,2462,str('H'),2,str('tstat'),0.186,63
Completed,0.96,4,1014,53,4388,str('KL'),1,str('tstat'),0.425,91
Completed,0.96,1,4577,0,795,str('H'),3,str('stdev'),0.519,2
Completed,0.96,1,4125,37,1856,str('H'),3,str('tstat'),0.292,54
Completed,0.96,1,206,16,2950,str('KL'),2,str('stdev'),0.636,43
Completed,0.96,1,1786,69,189,str('H'),3,str('stdev'),0.879,17
Completed,0.96,3,2554,20,3782,str('KL'),1,str('tstat'),0.037,81
Completed,0.96,1,2605,39,2737,str('KL'),3,str('tstat'),0.708,22
Completed,0.96,1,1816,14,1332,str('H'),2,str('stdev'),0.365,87
Completed,0.96,0,257,69,4269,str('KL'),2,str('stdev'),0.12,61
Completed,0.96,1,4155,20,362,str('H'),1,str('tstat'),0.963,50
Completed,0.96,6,4645,55,1976,str('H'),1,str('stdev'),0.221,96
Completed,0.96,0,1025,35,3382,str('KL'),2,str('tstat'),0.815,7
Completed,0.96,0,1985,49,1007,str('H'),2,str('tstat'),0.575,35
Completed,0.96,2,3677,4,4913,str('KL'),1,str('stdev'),0.482,71
Completed,0.96,1,3390,65,655,str('KL'),3,str('stdev'),0.169,42
Completed,0.96,1,2269,24,4562,str('H'),2,str('tstat'),0.762,57
Completed,0.96,1,739,41,2328,str('KL'),3,str('tstat'),0.503,79
Completed,0.96,1,4930,12,3734,str('H'),1,str('stdev'),0.41,18
Completed,0.96,0,3849,49,3917,str('H'),3,str('tstat'),0.651,66
Completed,0.96,1,561,4,10,str('KL'),2,str('stdev'),0.309,26
Completed,0.96,1,1509,62,3089,str('H'),1,str('stdev'),0.052,2
Completed,0.96,1,2909,27,1683,str('KL'),3,str('tstat'),0.895,88
Completed,0.96,1,2983,60,4458,str('H'),2,str('stdev'),0.802,11
Completed,0.96,0,1272,29,865,str('KL'),3,str('tstat'),0.148,100
Completed,0.96,0,332,46,3489,str('H'),3,str('tstat'),0.4,74
Completed,0.96,1,3934,7,2395,str('KL'),1,str('stdev'),0.556,38
Completed,0.96,3,4693,44,259,str('KL'),2,str('tstat'),0.251,84
