Status,ACCURACY,RUNTIME,recent_samples_size,feature_id,batch_size,divergence,detect_batch,statistic,significance,subsets
Completed,0.5,911,3202,4,1133,str('KL'),3,str('tstat'),0.466,55
Completed,0.56,1000,4112,7,2769,str('H'),3,str('tstat'),0.131,91
Completed,0.5,1036,1167,0,1253,str('KL'),1,str('stdev'),0.694,36
Completed,0.44,1370,4464,2,4017,str('H'),3,str('stdev'),0.502,11
Completed,0.52,1109,2929,9,2376,str('KL'),3,str('stdev'),0.839,50
Completed,0.43,1417,2439,2,3522,str('H'),2,str('tstat'),0.276,80
Completed,0.5,1058,2107,6,2101,str('H'),2,str('tstat'),0.013,30
Completed,0.5,1130,2558,1,3249,str('KL'),3,str('stdev'),0.577,100
Completed,0.5,1798,4757,8,360,str('H'),1,str('stdev'),0.772,61
Completed,0.48,895,523,4,4370,str('KL'),2,str('tstat'),0.334,16
Completed,0.52,1130,874,9,3122,str('KL'),2,str('stdev'),0.955,86
Completed,0.5,266,3858,3,1603,str('H'),1,str('tstat'),0.391,41
Completed,0.5,1143,3534,6,4496,str('KL'),1,str('tstat'),0.197,5
Completed,0.5,1018,1833,1,859,str('H'),3,str('stdev'),0.636,75
Completed,0.56,1170,1800,7,3032,str('KL'),1,str('stdev'),0.842,77
Completed,0.5,913,3539,4,1698,str('H'),2,str('tstat'),0.279,47
Completed,0.5,1066,3835,6,4432,str('KL'),2,str('tstat'),0.068,8
Completed,0.5,1068,889,0,919,str('H'),3,str('stdev'),0.507,63
Completed,0.54,617,537,5,2176,str('H'),1,str('tstat'),0.128,33
Completed,0.43,1140,4733,2,3179,str('KL'),3,str('stdev'),0.691,88
Completed,0.52,1201,2562,9,440,str('H'),2,str('stdev'),0.9,52
Completed,0.43,1340,2072,2,4285,str('KL'),1,str('tstat'),0.461,22
Completed,0.49,3907,2444,6,90,str('KL'),2,str('tstat'),0.201,72
Completed,0.5,1011,2894,0,3932,str('H'),3,str('stdev'),0.639,2
Completed,0.5,1180,4478,8,2451,str('KL'),2,str('stdev'),0.959,38
Completed,0.48,245,243,3,3451,str('H'),3,str('tstat'),0.396,83
Completed,0.5,1196,1143,8,4704,str('H'),3,str('stdev'),0.769,13
Completed,0.5,377,4127,3,1193,str('KL'),1,str('tstat'),0.33,58
