Status,ACCURACY,RUNTIME,recent_samples_size,feature_id,batch_size,divergence,detect_batch,statistic,significance,subsets
Completed,0.12,178,225,17,2761,str('H'),3,str('tstat'),0.879,15
Completed,0.16,300,4673,3,799,str('KL'),1,str('stdev'),0.314,86
Completed,0.11,176,3145,21,3937,str('H'),1,str('stdev'),0.626,69
Completed,0.1,133,1353,7,2115,str('KL'),2,str('tstat'),0.068,32
Completed,0.11,185,1728,16,4100,str('KL'),1,str('tstat'),0.984,20
Completed,0.1,186,3676,2,2273,str('H'),3,str('stdev'),0.303,81
Completed,0.1,215,107,24,891,str('KL'),3,str('stdev'),0.758,65
Completed,0.1,215,5000,24,3572,str('H'),3,str('stdev'),0.396,100
Completed,0.1,191,554,24,3479,str('H'),3,str('stdev'),0.999,59
Completed,0.1,287,4689,24,450,str('KL'),1,str('tstat'),0.001,1
Completed,0.1,248,5000,24,138,str('H'),1,str('tstat'),0.999,1
Completed,0.1,225,4832,24,923,str('KL'),2,str('tstat'),0.001,28
Completed,0.1,270,5000,24,2735,str('KL'),2,str('stdev'),0.001,28
Completed,0.1,245,1,24,5000,str('KL'),2,str('tstat'),0.001,1
Completed,0.1,270,136,24,3501,str('H'),1,str('stdev'),0.001,63
Completed,0.1,281,5000,24,3152,str('H'),1,str('tstat'),0.586,100
Completed,0.15,179,436,4,2679,str('H'),3,str('stdev'),0.999,100
Completed,0.21,111,3657,26,1455,str('KL'),2,str('tstat'),0.658,68
Completed,0.15,222,1877,3,3684,str('H'),3,str('stdev'),0.999,100
Completed,0.21,137,1,26,2555,str('KL'),2,str('stdev'),0.999,100
Completed,0.18,188,4948,9,3326,str('KL'),1,str('tstat'),0.001,63
Completed,0.18,98,4537,0,1573,str('KL'),1,str('tstat'),0.944,49
Completed,0.21,114,4290,26,1341,str('H'),2,str('stdev'),0.725,19
Completed,0.15,196,593,9,2004,str('H'),2,str('tstat'),0.001,100
Completed,0.12,288,321,12,3889,str('KL'),1,str('stdev'),0.001,2
Completed,0.21,98,891,26,1429,str('H'),2,str('stdev'),0.53,14
Completed,0.1,159,4728,25,2915,str('KL'),3,str('stdev'),0.74,72
Completed,0.1,133,437,11,948,str('H'),2,str('tstat'),0.048,29
Completed,0.13,201,1073,23,1597,str('H'),1,str('tstat'),0.592,58
Completed,0.17,142,4115,9,4767,str('KL'),3,str('stdev'),0.153,43
Completed,0.1,136,3058,19,418,str('H'),2,str('stdev'),0.839,10
Completed,0.15,142,855,1,4618,str('H'),3,str('tstat'),0.479,95
Completed,0.22,105,1045,26,580,str('KL'),1,str('stdev'),0.518,5
Completed,0.21,118,5000,26,5000,str('KL'),2,str('tstat'),0.999,1
Completed,0.21,90,5000,26,5000,str('H'),3,str('tstat'),0.001,61
Completed,0.21,188,5000,26,1,str('KL'),2,str('tstat'),0.001,3
Completed,0.17,100,672,0,5000,str('KL'),2,str('stdev'),0.42,100
Completed,0.21,108,56,26,5000,str('KL'),2,str('stdev'),0.482,100
Completed,0.21,118,1,26,5000,str('KL'),2,str('stdev'),0.303,100
Completed,0.21,92,4887,26,4974,str('KL'),2,str('stdev'),0.417,59
Completed,0.21,92,48,26,4796,str('KL'),3,str('stdev'),0.368,64
Completed,0.21,122,5000,26,5000,str('KL'),2,str('stdev'),0.394,100
Completed,0.21,92,207,26,4816,str('KL'),2,str('stdev'),0.39,35
Completed,0.21,94,2746,26,4831,str('KL'),2,str('stdev'),0.344,46
Completed,0.1,147,1899,15,4984,str('KL'),2,str('stdev'),0.375,64
Completed,0.11,203,834,25,4912,str('KL'),2,str('stdev'),0.433,2
Completed,0.22,94,3709,26,4782,str('KL'),3,str('stdev'),0.381,15
Completed,0.21,115,1,26,5000,str('KL'),2,str('stdev'),0.389,100
Completed,0.13,134,775,10,4752,str('KL'),3,str('tstat'),0.999,19
Completed,0.21,551,362,26,1,str('H'),2,str('tstat'),0.999,20
Completed,0.21,253,5000,26,1,str('H'),3,str('tstat'),0.999,100
Completed,0.19,103,2510,0,785,str('KL'),2,str('stdev'),0.999,1
Completed,0.21,168,5000,26,1,str('KL'),3,str('tstat'),0.001,76
Completed,0.22,131,4561,26,5000,str('H'),1,str('stdev'),0.999,100
Completed,0.16,61,2403,0,4569,str('KL'),2,str('stdev'),0.001,9
Completed,0.21,92,5000,26,5000,str('KL'),3,str('stdev'),0.999,61
Completed,0.22,154,5000,26,5000,str('KL'),1,str('tstat'),0.999,1
Completed,0.21,101,5000,26,3824,str('KL'),3,str('tstat'),0.999,67
Completed,0.11,53,1562,0,4277,str('H'),3,str('stdev'),0.999,41
Completed,0.23,108,3898,26,80,str('KL'),2,str('stdev'),0.999,1
Completed,0.18,79,4603,0,5000,str('KL'),2,str('tstat'),0.001,1
Completed,0.22,110,1129,26,2610,str('H'),1,str('tstat'),0.001,97
Completed,0.21,105,609,26,5000,str('H'),2,str('stdev'),0.001,1
Completed,0.21,159,3805,26,1,str('H'),3,str('stdev'),0.999,71
Completed,0.22,149,305,26,2461,str('KL'),1,str('stdev'),0.999,1
Completed,0.22,78,3163,26,2709,str('H'),3,str('stdev'),0.999,100
Completed,0.11,57,2035,0,3909,str('H'),2,str('tstat'),0.001,8
Completed,0.22,131,1746,26,4535,str('H'),1,str('tstat'),0.137,100
Completed,0.16,69,3727,0,3627,str('H'),2,str('stdev'),0.001,64
Completed,0.15,61,4434,0,2726,str('KL'),3,str('stdev'),0.724,4
Completed,0.21,84,233,26,4657,str('KL'),3,str('tstat'),0.001,61
Completed,0.16,62,4099,0,4186,str('KL'),2,str('tstat'),0.999,23
Completed,0.21,358,750,26,1,str('H'),2,str('stdev'),0.001,17
Completed,0.21,108,5000,26,5000,str('H'),2,str('tstat'),0.001,1
Completed,0.21,164,5000,26,1,str('KL'),3,str('stdev'),0.999,100
Completed,0.18,79,3088,0,4666,str('H'),2,str('stdev'),0.001,3
Completed,0.22,136,5000,26,5000,str('H'),1,str('tstat'),0.001,1
Completed,0.21,116,5000,26,5000,str('H'),3,str('stdev'),0.001,58
Completed,0.21,270,1,26,1,str('KL'),3,str('tstat'),0.999,1
