Status,ACCURACY,RUNTIME,recent_samples_size,feature_id,batch_size,divergence,detect_batch,statistic,significance,subsets
Completed,0.47,1976,2389,6,2777,str('H'),1,str('tstat'),0.828,54
Completed,0.47,1679,2353,37,1867,str('KL'),1,str('tstat'),0.071,33
Completed,0.65,1213,1,0,1789,str('KL'),2,str('tstat'),0.001,1
Completed,0.31,1546,5000,53,2332,str('KL'),3,str('tstat'),0.001,1
Completed,0.47,1934,1,53,4221,str('H'),2,str('tstat'),0.999,1
Completed,0.45,1778,1536,53,2556,str('KL'),1,str('tstat'),0.999,13
Completed,0.47,1915,4799,9,2605,str('KL'),2,str('tstat'),0.124,5
Completed,0.45,1661,1,53,1055,str('H'),3,str('stdev'),0.001,41
Completed,0.46,1656,3710,53,2738,str('KL'),1,str('tstat'),0.001,15
Completed,0.62,941,1,0,1918,str('KL'),3,str('tstat'),0.001,12
Completed,0.46,2059,5000,53,2793,str('H'),1,str('tstat'),0.001,3
Completed,0.41,1580,1,53,1414,str('H'),3,str('tstat'),0.001,1
Completed,0.02,1401,751,38,2636,str('KL'),3,str('tstat'),0.999,8
Completed,0.63,1048,1,0,1827,str('KL'),2,str('tstat'),0.999,6
Completed,0.45,1742,5000,53,3385,str('H'),3,str('tstat'),0.999,1
Completed,0.46,1765,1,53,1825,str('KL'),2,str('tstat'),0.999,3
Completed,0.24,1563,2335,23,2817,str('H'),3,str('stdev'),0.428,60
Completed,0.35,1432,1173,31,404,str('H'),3,str('tstat'),0.049,29
Completed,0.44,1843,1901,7,4553,str('KL'),3,str('tstat'),0.557,3
Completed,0.44,2024,4889,51,1464,str('H'),2,str('stdev'),0.387,79
Completed,0.46,1739,3822,4,829,str('H'),1,str('stdev'),0.736,21
Completed,0.07,1494,1732,40,2687,str('KL'),3,str('tstat'),0.317,98
Completed,0.25,1690,116,24,2270,str('H'),2,str('tstat'),0.827,71
Completed,0.36,1812,3104,35,4216,str('KL'),1,str('stdev'),0.244,48
