Status,ACCURACY,RUNTIME,recent_samples_size,feature_id,batch_size,divergence,detect_batch,statistic,significance,subsets
Completed,0.06,2,2860,12,1628,str('KL'),3,str('tstat'),0.393,67
Completed,0.04,4,1701,3,3849,str('H'),2,str('stdev'),0.983,29
Completed,0.04,4,2471,15,2544,str('H'),2,str('tstat'),0.339,94
Completed,0.04,5,3671,0,399,str('KL'),3,str('stdev'),0.785,6
Completed,0.04,4,4965,18,4707,str('H'),3,str('stdev'),0.605,45
Completed,0.06,4,1160,8,2006,str('KL'),3,str('tstat'),0.022,57
Completed,0.04,4,870,10,4614,str('KL'),2,str('tstat'),0.264,34
Completed,0.04,6,4570,4,2392,str('H'),1,str('stdev'),0.859,72
Completed,0.04,6,3363,18,3105,str('KL'),1,str('stdev'),0.562,79
Completed,0.04,5,2059,6,170,str('H'),3,str('tstat'),0.065,17
Completed,0.04,5,1266,16,1555,str('H'),2,str('stdev'),0.738,56
Completed,0.08,3,2612,9,4254,str('KL'),3,str('tstat'),0.136,43
Completed,0.05,4,3758,13,1198,str('H'),1,str('tstat'),0.443,8
Completed,0.04,4,99,1,3341,str('KL'),3,str('stdev'),0.932,95
Completed,0.04,6,97,19,1426,str('H'),1,str('stdev'),0.609,61
Completed,0.06,4,3780,5,4349,str('KL'),2,str('tstat'),0.018,48
Completed,0.06,4,2586,12,1138,str('H'),2,str('tstat'),0.342,3
Completed,0.04,4,1274,3,3368,str('KL'),3,str('stdev'),0.781,90
Completed,0.04,4,2046,15,4597,str('KL'),1,str('tstat'),0.396,26
Completed,0.04,4,3395,0,2442,str('H'),2,str('stdev'),0.979,63
Completed,0.05,4,4533,17,3000,str('KL'),2,str('stdev'),0.66,87
Completed,0.04,5,887,7,308,str('H'),1,str('tstat'),0.214,25
Completed,0.04,4,1148,11,2605,str('H'),3,str('tstat'),0.439,98
Completed,0.06,4,4997,5,372,str('KL'),1,str('stdev'),0.936,11
Completed,0.04,4,3635,19,4836,str('H'),2,str('stdev'),0.735,40
Completed,0.04,4,2489,7,1910,str('KL'),3,str('tstat'),0.14,53
Completed,0.04,6,1699,16,762,str('KL'),2,str('stdev'),0.558,14
Completed,0.08,4,2882,9,3451,str('H'),3,str('tstat'),0.069,76
Completed,0.06,6,4187,14,1646,str('KL'),1,str('tstat'),0.261,75
Completed,0.04,4,375,2,3797,str('H'),3,str('stdev'),0.863,37
Completed,0.05,5,487,13,518,str('KL'),3,str('tstat'),0.891,67
Completed,0.04,4,4329,1,2752,str('H'),1,str('stdev'),0.484,29
