Status,ACCURACY,RUNTIME,recent_samples_size,feature_id,batch_size,divergence,detect_batch,statistic,significance,subsets
Completed,0.57,16,553,4,4189,str('H'),3,str('stdev'),0.812,43
Completed,0.64,38,2634,3,1164,str('KL'),2,str('tstat'),0.306,89
Completed,0.57,15,3330,5,2216,str('KL'),1,str('tstat'),0.881,35
Completed,0.57,12,956,2,3059,str('H'),3,str('stdev'),0.376,86
Completed,0.66,4,1836,3,2682,str('KL'),3,str('stdev'),0.999,85
Completed,0.65,8,4457,3,5000,str('KL'),1,str('stdev'),0.526,58
Completed,0.65,34,393,3,2488,str('KL'),1,str('tstat'),0.646,92
Completed,0.57,17,1337,7,4481,str('H'),2,str('tstat'),0.37,54
Completed,0.57,13,4354,0,167,str('KL'),3,str('stdev'),0.872,3
Completed,0.64,14,3862,5,4732,str('KL'),2,str('stdev'),0.233,48
Completed,0.57,13,1858,2,619,str('H'),3,str('tstat'),0.727,96
Completed,0.57,14,299,6,2609,str('KL'),2,str('tstat'),0.257,59
Completed,0.57,20,1304,6,3519,str('KL'),2,str('stdev'),0.001,28
Completed,0.57,21,4868,6,4463,str('KL'),3,str('tstat'),0.999,5
Completed,0.57,21,1598,6,4900,str('H'),2,str('tstat'),0.999,3
Completed,0.57,19,4794,6,150,str('KL'),3,str('tstat'),0.999,76
Completed,0.62,12,261,3,4373,str('H'),1,str('stdev'),0.999,61
Completed,0.66,15,2419,3,4930,str('KL'),1,str('stdev'),0.497,78
Completed,0.57,19,855,7,1999,str('H'),2,str('stdev'),0.519,66
Completed,0.57,14,3461,0,2729,str('KL'),3,str('tstat'),0.021,18
Completed,0.57,14,3077,6,3776,str('KL'),3,str('tstat'),0.667,62
Completed,0.57,15,139,1,874,str('H'),1,str('stdev'),0.169,7
Completed,0.57,12,2927,1,2041,str('H'),1,str('stdev'),0.751,10
Completed,0.57,37,3622,7,676,str('H'),1,str('stdev'),0.436,69
Completed,0.57,14,702,0,4052,str('KL'),2,str('tstat'),0.931,14
Completed,0.57,13,2257,4,1666,str('H'),3,str('tstat'),0.085,27
Completed,0.66,20,4553,3,3607,str('KL'),1,str('stdev'),0.58,82
Completed,0.57,15,4400,4,342,str('H'),3,str('tstat'),0.995,30
Completed,0.62,7,2879,3,1403,str('KL'),1,str('tstat'),0.001,42
Completed,0.58,4,343,3,233,str('H'),3,str('stdev'),0.999,22
Completed,0.68,9,5000,3,2749,str('KL'),1,str('stdev'),0.9,1
Completed,0.57,15,1488,0,1490,str('KL'),2,str('stdev'),0.205,6
Completed,0.57,16,4231,4,4848,str('KL'),2,str('tstat'),0.717,1
Completed,0.57,19,439,2,5000,str('H'),2,str('tstat'),0.795,100
Completed,0.57,35,2514,6,5000,str('H'),2,str('tstat'),0.823,100
Completed,0.59,4,3064,3,2554,str('KL'),2,str('tstat'),0.001,30
Completed,0.67,5,210,3,4784,str('H'),2,str('tstat'),0.748,1
Completed,0.62,6,1887,3,2519,str('KL'),2,str('tstat'),0.561,53
