index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,n_samples,n_permutations,update_interval,n_consecutive_deviations
0,0.4452425480293127,0.7656273713574069,2517.0,29.0,873.0,191.0,184.0
1,0.4503957513982022,0.7591810344593645,2493.0,24.0,740.0,205.0,182.0
2,0.4555850097614803,0.7588174347017346,2721.0,25.0,708.0,199.0,179.0
3,0.4697671651152041,0.7551390084381984,3055.0,8.0,864.0,188.0,161.0
4,0.4868203887615649,0.7523965606631491,2727.0,4.0,807.0,200.0,149.0
5,0.4914420099689707,0.7499415473689793,2727.0,4.0,728.0,184.0,149.0
6,0.4919510806005903,0.7481693431776651,2727.0,4.0,737.0,188.0,149.0
7,0.4952926439936242,0.7378579930523927,719.0,15.0,504.0,245.0,170.0
8,0.5035114992124796,0.73743273854977,2476.0,29.0,583.0,176.0,141.0
9,0.5191633114525276,0.7255400695231681,2950.0,96.0,541.0,240.0,158.0
10,0.5240375510473553,0.7209652584385392,2493.0,24.0,710.0,198.0,125.0
11,0.5246395280334354,0.7187784075281971,2310.0,24.0,525.0,183.0,125.0
12,0.6034102769053749,0.6604568946758705,56.0,317.0,294.0,243.0,10.0
13,0.6157705910647089,0.6442835231434828,2362.0,287.0,230.0,241.0,96.0
14,0.6186726355525374,0.6411199890477117,1685.0,333.0,234.0,245.0,109.0
15,0.659068938115896,0.6364305804818776,74.0,464.0,260.0,78.0,19.0
16,0.6692464434812939,0.6302842116781372,100.0,575.0,204.0,98.0,14.0
17,0.7165124902101478,0.5830947761155202,156.0,702.0,118.0,89.0,3.0
18,0.7278067438054343,0.5803411350603411,185.0,743.0,119.0,83.0,4.0
19,0.7387761670280377,0.5627963735690688,190.0,1014.0,862.0,80.0,2.0
