index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,n_samples,n_permutations,update_interval,n_consecutive_deviations
0,0.5850776981639056,0.8431599512974214,943.0,15.0,699.0,200.0,171.0
1,0.5985190827463004,0.8420455516620414,2840.0,26.0,465.0,166.0,160.0
2,0.5995646966379733,0.8388281605850276,2637.0,48.0,641.0,164.0,150.0
3,0.6303178542402691,0.8124453866510232,2797.0,63.0,298.0,198.0,136.0
4,0.6498392511596547,0.7977051447109882,2806.0,60.0,193.0,226.0,117.0
5,0.6523475373604697,0.7889189987599736,2972.0,15.0,170.0,214.0,114.0
6,0.6673726157303753,0.7693471726596217,4266.0,110.0,148.0,149.0,121.0
7,0.6742441239847856,0.7579253719997953,2560.0,93.0,105.0,172.0,67.0
8,0.6785847583663681,0.7428637971640435,2519.0,111.0,177.0,194.0,59.0
9,0.6870800997108469,0.7292514631613443,262.0,110.0,949.0,241.0,12.0
10,0.6902258497675167,0.7252354682192983,159.0,178.0,57.0,210.0,4.0
11,0.7126929371713857,0.7058803793823195,225.0,725.0,608.0,196.0,2.0
12,0.7341766916565768,0.6919203900372218,337.0,708.0,525.0,236.0,3.0
13,0.7464374250164483,0.6767315731077735,282.0,671.0,521.0,205.0,1.0
14,0.7566640115874518,0.671270248771108,392.0,650.0,639.0,233.0,1.0
15,0.7603984574091025,0.6673886799733258,439.0,684.0,667.0,211.0,1.0
16,0.7687480683312179,0.652769712911981,524.0,658.0,701.0,206.0,1.0
17,0.775841644067938,0.6403436473589449,2723.0,745.0,588.0,214.0,2.0
18,0.7912564781938558,0.6219215529049475,2680.0,606.0,587.0,209.0,1.0
19,0.8078825171601949,0.612456925214991,2936.0,718.0,719.0,220.0,1.0
