index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,n_samples,n_permutations,update_interval,n_consecutive_deviations
0,0.491125224,0.799737191,2634.0,3.0,246.0,216.0,153.0
1,0.527889274,0.779392401,11.0,5.0,942.0,188.0,9.0
2,0.701222585,0.740235904,6.0,1.0,557.0,45.0,19.0
3,0.703041472,0.72801047,6.0,8.0,363.0,46.0,20.0
4,0.723594929,0.709001099,29.0,3.0,425.0,40.0,18.0
5,0.786867084,0.616059284,74.0,151.0,220.0,56.0,2.0
6,0.791238841,0.598099245,71.0,128.0,284.0,35.0,1.0
7,0.454167884,0.816173441,2157.0,4.0,481.0,230.0,189.0
8,0.488249992,0.797292483,2340.0,12.0,408.0,214.0,147.0
9,0.48960579,0.794558329,2609.0,12.0,194.0,233.0,155.0
10,0.49219393,0.7816076,3109.0,30.0,260.0,234.0,153.0
11,0.530746369,0.759992383,2394.0,44.0,392.0,228.0,111.0
12,0.536295548,0.744104428,16.0,3.0,443.0,212.0,14.0
13,0.55023428,0.743075231,16.0,3.0,682.0,190.0,27.0
14,0.553780868,0.739724291,16.0,3.0,895.0,147.0,14.0
15,0.68982937,0.731966934,3.0,2.0,546.0,47.0,21.0
16,0.710692802,0.720062251,12.0,13.0,977.0,37.0,16.0
17,0.732434837,0.695506989,26.0,27.0,856.0,16.0,13.0
18,0.745991624,0.668749523,42.0,103.0,686.0,30.0,10.0
19,0.788586584,0.584345367,93.0,82.0,737.0,34.0,1.0
