source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level
benchmark_pareto,0.32,647.0,0.32,408.0,Completed,1.0,1.0,1.0,181.0,0.698
benchmark_pareto,0.6,1422.0,0.6,1047.0,Completed,655.0,47.0,84.0,84.0,0.221
benchmark_pareto,0.64,3065.0,0.64,2440.0,Completed,2134.0,159.0,80.0,58.0,0.043
benchmark_max_rt,,11968.0,,11001.0,Completed,549.0,802.0,92.0,2.0,0.034
benchmark_min_acc,0.32,,0.32,,Completed,1465.0,1.0,1.0,419.0,0.001
paper_default,-1.0,-1.0,0.63,4659.0,Completed,100.0,100.0,30.0,500.0,0.01
paper_default,-1.0,-1.0,0.6,1924.0,Completed,50.0,50.0,30.0,500.0,0.01
paper_default,-1.0,-1.0,0.63,3151.0,Completed,75.0,75.0,30.0,500.0,0.01
paper_default,-1.0,-1.0,,,MAX_RT,150.0,150.0,30.0,500.0,0.01
paper_default,-1.0,-1.0,,,MAX_RT,200.0,200.0,30.0,500.0,0.01
paper_default,-1.0,-1.0,0.59,5507.0,Completed,2000.0,100.0,30.0,500.0,0.01
paper_default,-1.0,-1.0,0.59,2539.0,Completed,2000.0,50.0,30.0,500.0,0.01
paper_default,-1.0,-1.0,0.59,3762.0,Completed,2000.0,75.0,30.0,500.0,0.01
paper_default,-1.0,-1.0,,,MAX_RT,2000.0,150.0,30.0,500.0,0.01
paper_default,-1.0,-1.0,,,MAX_RT,2000.0,200.0,30.0,500.0,0.01
recommendation_system,0.397210648,0.692611549,0.32,64.0,Completed,1904.0,1.0,1.0,10.0,0.744008432
recommendation_system,0.399406829,0.686356712,0.32,76.0,Completed,1420.0,1.0,1.0,9.0,0.733630362
recommendation_system,0.408903356,0.677807494,0.32,69.0,Completed,1749.0,1.0,1.0,14.0,0.743847569
recommendation_system,0.434269676,0.657710677,0.32,101.0,Completed,1555.0,1.0,1.0,27.0,0.703202149
recommendation_system,0.4610625,0.649281766,0.32,146.0,Completed,1805.0,1.0,1.0,44.0,0.708344884
recommendation_system,0.487045139,0.642128936,0.56,1122.0,Completed,2067.0,3.0,1.0,64.0,0.698449376
recommendation_system,0.568262153,0.518612032,0.6,468.0,Completed,2475.0,8.0,14.0,51.0,0.120217314
recommendation_system,0.593921875,0.503819019,0.57,914.0,Completed,2725.0,8.0,14.0,51.0,0.321844784
recommendation_system,0.617510995,0.491790177,0.6,531.0,Completed,2467.0,12.0,20.0,60.0,0.357225008
recommendation_system,0.626571181,0.483561746,0.6,536.0,Completed,2704.0,12.0,21.0,83.0,0.188645471
recommendation_system,0.629017361,0.478789215,0.6,564.0,Completed,2725.0,18.0,19.0,58.0,0.282954677
recommendation_system,0.63742419,0.470395397,0.61,588.0,Completed,2767.0,30.0,15.0,51.0,0.304306367
recommendation_system,0.647137153,0.467808221,0.6,588.0,Completed,2725.0,22.0,23.0,51.0,0.334010934
recommendation_system,0.651314236,0.466075629,0.6,602.0,Completed,2690.0,23.0,24.0,69.0,0.283973904
recommendation_system,0.662260417,0.460486434,0.59,677.0,Completed,2728.0,26.0,22.0,75.0,0.372806824
recommendation_system,0.670492477,0.444848448,0.61,580.0,Completed,2236.0,47.0,26.0,85.0,0.304306367
recommendation_system,0.674404514,0.444235585,0.59,719.0,Completed,3003.0,34.0,22.0,69.0,0.332792152
recommendation_system,0.681851852,0.437704879,0.54,837.0,Completed,2949.0,75.0,19.0,80.0,0.354865884
recommendation_system,0.698765625,0.401622868,0.32,856.0,Completed,1613.0,37.0,73.0,196.0,0.094809388
recommendation_system,0.716820602,0.363490918,0.58,1737.0,Completed,3238.0,41.0,78.0,362.0,0.445127877
