Status,ACCURACY,RUNTIME,recent_samples_size,feature_id,threshold,window_size
Completed,0.96,1,5000,34,0.001,5000
Completed,0.96,1,5000,71,0.001,659
Completed,0.96,1,1,71,0.602,1
Completed,0.96,1,5000,71,0.001,3785
Completed,0.96,1,1,71,0.999,3710
Completed,0.96,1,1,0,0.999,1929
Completed,0.96,1,1,0,0.999,5000
Completed,0.96,1,1,71,0.001,1
Completed,0.96,1,4635,71,0.281,5000
Completed,0.96,1,5000,0,0.001,4163
Completed,0.96,1,1,30,0.476,5000
Completed,0.96,1,1,34,0.999,5000
Completed,0.96,1,1482,0,0.663,5000
Completed,0.96,289,5000,0,0.001,320
Completed,0.96,1,5000,0,0.424,388
Completed,0.96,1,2257,71,0.001,714
Completed,0.96,1,5000,71,0.999,372
Completed,0.96,1,2710,71,0.999,658
Completed,0.96,1,5000,0,0.999,375
Completed,0.96,1,1,0,0.534,1
Completed,0.96,1,1,71,0.716,4455
Completed,0.96,1,5000,36,0.76,280
Completed,0.96,1,5000,0,0.999,1993
Completed,0.96,1,5000,71,0.377,5000
Completed,0.96,1,5000,57,0.999,642
Completed,0.96,1,1,0,0.999,1684
Completed,0.96,1,419,71,0.001,3690
Completed,0.96,1,5000,26,0.378,652
Completed,0.96,1,5000,41,0.532,356
Completed,0.96,1,1,0,0.599,3459
Completed,0.96,1,1,30,0.001,1188
Completed,0.96,1,1,71,0.29,489
Completed,0.96,1,4991,0,0.265,524
Completed,0.96,1,4757,16,0.357,4510
Completed,0.96,1,4,71,0.616,917
Completed,0.96,1,924,0,0.679,1900
Completed,0.96,1,4955,0,0.423,1460
Completed,0.96,1,4942,71,0.625,4012
Completed,0.96,1,1,0,0.493,925
Completed,0.96,1,1,0,0.648,4742
Completed,0.96,1,5000,71,0.603,1521
Completed,0.96,1,5000,71,0.591,2529
Completed,0.96,1,1,0,0.66,3072
Completed,0.96,1,4789,71,0.366,4652
Completed,0.96,1,1,0,0.27,628
Completed,0.96,1,5000,0,0.669,1711
Completed,0.96,1,256,71,0.552,1968
Completed,0.96,1,556,71,0.37,4355
Completed,0.96,1,1,71,0.529,4688
Completed,0.96,1,5000,0,0.802,2422
Completed,0.96,1,2947,71,0.28,558
Completed,0.96,1,878,71,0.373,2075
Completed,0.96,1,5000,0,0.678,2845
Completed,0.96,1,4569,71,0.727,1796
Completed,0.96,1,306,35,0.681,3782
Completed,0.96,1,1,71,0.626,1322
Completed,0.96,1,1,32,0.399,1285
Completed,0.96,1,4430,0,0.44,4304
Completed,0.96,1,4546,57,0.296,1520
Completed,0.96,1,4283,0,0.547,4713
Completed,0.96,1,1668,71,0.721,1857
Completed,0.96,1,4918,71,0.388,495
Completed,0.96,1,359,0,0.287,3674
Completed,0.96,1,1,71,0.437,189
Completed,0.96,1,1,0,0.331,3186
Completed,0.96,1,4421,71,0.271,3962
Completed,0.96,1,1,0,0.203,868
Completed,0.96,1,5000,71,0.51,3423
Completed,0.96,1,4855,0,0.447,3397
Completed,0.96,1,4362,71,0.321,2218
Completed,0.96,1,430,71,0.274,2769
Completed,0.96,1,368,71,0.714,4083
Completed,0.96,1,2896,0,0.999,3141
Completed,0.96,1,5000,0,0.268,3976
Completed,0.96,1,5000,71,0.816,371
Completed,0.96,1,1903,71,0.305,3575
Completed,0.96,1,436,0,0.329,2479
Completed,0.96,1,518,0,0.819,2783
Completed,0.96,1,2205,71,0.887,3180
Completed,0.96,1,5000,71,0.552,3174
Completed,0.96,1,546,71,0.388,2444
Completed,0.96,1,4225,0,0.714,3130
Completed,0.96,1,5000,0,0.822,375
Completed,0.96,1,4751,0,0.394,2264
Completed,0.96,1,246,0,0.784,2491
Completed,0.96,1,4715,71,0.704,3582
Completed,0.96,1,5000,71,0.218,1137
Completed,0.96,1,1868,71,0.794,2628
Completed,0.96,1,5000,71,0.204,2040
Completed,0.96,1,4572,71,0.604,2204
Completed,0.96,1,1,71,0.323,3234
Completed,0.96,1,5000,71,0.7,881
Completed,0.96,1,1851,71,0.822,313
Completed,0.96,1,3797,0,0.001,626
Completed,0.96,1,5000,0,0.001,3093
Completed,0.96,1,1,0,0.001,4163
Completed,0.96,1,2504,71,0.999,1675
Completed,0.96,1,2183,0,0.334,5000
Completed,0.96,1,1,71,0.001,4141
Completed,0.96,1,3137,71,0.193,4357
Completed,0.96,1,5000,0,0.764,4408
Completed,0.96,1,295,0,0.659,694
Completed,0.96,1,3418,0,0.999,2462
Completed,0.96,1,5000,71,0.001,3055
Completed,0.96,1,5000,71,0.783,1151
Completed,0.96,1,5000,71,0.715,4330
Completed,0.96,1,1059,71,0.692,754
Completed,0.96,1,1857,71,0.685,937
Completed,0.96,1,103,71,0.999,4846
Completed,0.96,1,632,0,0.284,1811
Completed,0.96,1,3503,0,0.706,331
Completed,0.96,1,1,0,0.999,3960
Completed,0.96,1,2123,0,0.739,894
Completed,0.96,1,109,71,0.187,4516
Completed,0.96,1,1,71,0.68,2208
Completed,0.96,1,5000,0,0.625,1010
Completed,0.96,1,5000,71,0.341,2771
Completed,0.96,1,5000,0,0.293,2812
Completed,0.96,1,1,33,0.269,2246
Completed,0.96,1,3488,0,0.999,2861
Completed,0.96,1,1625,35,0.304,1396
Completed,0.96,1,2665,0,0.407,2720
Completed,0.96,1,115,37,0.32,2976
Completed,0.96,1,2420,42,0.631,3911
Completed,0.96,1,5000,0,0.611,334
Completed,0.96,1,1,71,0.312,4132
Completed,0.96,1,1,71,0.267,1519
Completed,0.96,1,1,0,0.001,2690
Completed,0.96,1,1,19,0.999,3432
Completed,0.96,1,5000,71,0.618,333
Completed,0.96,1,2491,71,0.371,2696
Completed,0.96,1,1601,0,0.001,2248
Completed,0.96,1,3001,36,0.36,1795
Completed,0.96,1,1,71,0.746,1675
Completed,0.96,1,3234,71,0.364,4859
Completed,0.96,1,5000,0,0.231,4850
Completed,0.96,1,4440,71,0.288,1780
Completed,0.96,1,5000,71,0.999,4142
Completed,0.96,1,4227,0,0.311,1803
Completed,0.96,1,1794,0,0.999,3373
Completed,0.96,1,2670,27,0.999,1364
Completed,0.96,1,5000,30,0.001,1926
Completed,0.96,1,5000,0,0.999,1138
Completed,0.96,1,1,0,0.792,1127
Completed,0.96,1,1,71,0.001,2630
Completed,0.96,1,2450,0,0.001,4204
Completed,0.96,1,1,0,0.623,347
Completed,0.96,1,2574,71,0.762,2065
Completed,0.96,1,638,71,0.255,2986
Completed,0.96,1,5000,71,0.999,1143
Completed,0.96,1,1,0,0.231,1574
Completed,0.96,1,4735,71,0.477,1259
Completed,0.96,1,1,0,0.741,4266
Completed,0.96,1,2092,0,0.148,3808
Completed,0.96,1,5000,0,0.999,2279
Completed,0.96,1,5000,71,0.999,2285
Completed,0.96,1,1957,71,0.001,4718
Completed,0.96,1,2140,0,0.524,4493
Completed,0.96,1,463,0,0.436,778
Completed,0.96,1,1,0,0.243,3448
Completed,0.96,1,2470,0,0.703,2945
Completed,0.96,1,4335,71,0.851,3365
Completed,0.96,1,5000,71,0.237,3190
Completed,0.96,1,5000,0,0.736,4799
Completed,0.96,1,1222,71,0.999,360
Completed,0.96,1,1502,0,0.718,4624
Completed,0.96,1,5000,71,0.248,4236
Completed,0.96,1,1586,0,0.999,529
Completed,0.96,1,1951,71,0.185,3809
Completed,0.96,1,39,0,0.779,5000
Completed,0.96,1,1437,71,0.676,2934
Completed,0.96,1,4598,71,0.214,3538
Completed,0.96,1,2998,71,0.575,1387
Completed,0.96,1,1871,0,0.896,4050
Completed,0.96,1,3045,0,0.471,2496
Completed,0.96,1,780,71,0.671,3245
Completed,0.96,1,1,71,0.254,3461
Completed,0.96,1,1,71,0.999,4346
Completed,0.96,1,1,71,0.191,3903
Completed,0.96,1,3692,0,0.175,3465
Completed,0.96,1,4182,0,0.999,1804
Completed,0.96,1,1,71,0.357,350
Completed,0.96,1,1,0,0.312,356
Completed,0.96,1,4562,0,0.771,2658
Completed,0.96,1,3185,0,0.001,1351
Completed,0.96,1,4096,71,0.001,2390
Completed,0.96,1,1,71,0.001,3054
Completed,0.96,1,5000,71,0.999,444
Completed,0.96,1,3428,0,0.757,1609
Completed,0.96,1,3265,71,0.755,4828
Completed,0.96,1,5000,71,0.682,3833
Completed,0.96,1,3103,71,0.371,4613
Completed,0.96,1,5000,0,0.431,876
Completed,0.96,1,1,71,0.853,97
Completed,0.96,1,412,71,0.55,4851
Completed,0.96,1,3865,0,0.783,785
Completed,0.96,1,2158,71,0.001,1402
Completed,0.96,1,93,0,0.999,1538
Completed,0.96,1,3530,71,0.999,2635
Completed,0.96,1,2481,71,0.605,3637
Completed,0.96,1,3888,0,0.999,4148
Completed,0.96,1,5000,0,0.659,3820
Completed,0.96,1,732,71,0.2,5000
Completed,0.96,1,3237,0,0.999,4536
Completed,0.96,1,3361,71,0.141,1323
Completed,0.96,1,1371,71,0.776,3658
Completed,0.96,1,3542,0,0.759,5000
Completed,0.96,1,4990,71,0.676,4578
Completed,0.96,1,3922,71,0.863,1554
Completed,0.96,1,2042,0,0.001,611
Completed,0.96,1,5000,0,0.77,4146
Completed,0.96,1,4932,71,0.477,2985
Completed,0.96,1,5000,0,0.761,1338
Completed,0.96,1,731,0,0.508,531
Completed,0.96,1,2076,0,0.427,3317
Completed,0.96,1,1297,71,0.001,4885
Completed,0.96,1,1326,71,0.606,1150
Completed,0.96,1,2200,71,0.238,1603
Completed,0.96,1,1778,0,0.001,3850
Completed,0.96,1,2493,71,0.12,2823
Completed,0.96,1,1815,71,0.999,2270
Completed,0.96,1,3680,71,0.999,1211
Completed,0.96,1,5000,0,0.837,2146
Completed,0.96,1,3880,71,0.452,4087
Completed,0.96,1,5000,71,0.18,4411
Completed,0.96,1,1,71,0.001,863
Completed,0.96,1,68,71,0.21,1126
Completed,0.96,1,1,0,0.229,4711
Completed,0.96,1,2337,71,0.249,2324
Completed,0.96,1,1223,71,0.468,560
Completed,0.96,1,1687,0,0.223,2336
Completed,0.96,1,5000,71,0.001,2684
Completed,0.96,1,3455,0,0.119,4643
Completed,0.96,1,144,0,0.527,1115
Completed,0.96,1,5000,71,0.221,2438
Completed,0.96,1,2720,0,0.001,3388
Completed,0.96,1,5000,0,0.2,4382
Completed,0.96,1,823,71,0.104,4084
Completed,0.96,1,3134,0,0.505,3222
Completed,0.96,1,1,71,0.789,3587
Completed,0.96,1,3029,0,0.277,2008
Completed,0.96,1,1,0,0.211,1988
Completed,0.96,1,4025,71,0.001,4422
Completed,0.96,1,11,36,0.223,2648
Completed,0.96,1,1,0,0.775,1484
Completed,0.96,1,4269,0,0.238,584
Completed,0.96,1,2389,71,0.862,2307
Completed,0.96,1,5000,71,0.999,2498
Completed,0.96,1,5000,0,0.999,2471
Completed,0.96,1,3788,71,0.999,401
Completed,0.96,1,1,40,0.799,3305
Completed,0.96,1,1179,71,0.52,4229
Completed,0.96,1,3645,43,0.118,4945
Completed,0.96,1,1,71,0.817,4833
Completed,0.96,1,5000,25,0.189,3716
Completed,0.96,1,1474,71,0.263,3100
Completed,0.96,1,1333,0,0.493,3123
Completed,0.96,1,1,71,0.081,1293
Completed,0.96,1,3666,0,0.999,411
Completed,0.96,1,91,71,0.459,3716
Completed,0.96,1,5000,0,0.839,1883
Completed,0.96,1,1508,44,0.001,3600
Completed,0.96,1,1,71,0.999,2865
Completed,0.96,1,5000,71,0.999,3739
Completed,0.96,1,1,0,0.838,3911
Completed,0.96,1,4773,0,0.19,2946
Completed,0.96,1,1813,0,0.999,3014
Completed,0.96,1,1,71,0.83,2026
Completed,0.96,1,5000,37,0.503,4880
Completed,0.96,1,296,71,0.143,4268
Completed,0.96,1,4903,16,0.831,2985
Completed,0.96,1,536,0,0.891,1809
Completed,0.96,1,1292,43,0.999,1789
Completed,0.96,1,5000,0,0.176,1703
