Status,ACCURACY,RUNTIME,recent_samples_size,feature_id,threshold,window_size
Completed,0.04,5,4730,2,0.295,1440
Completed,0.04,5,2863,11,0.988,3483
Completed,0.07,5677,1840,8,0.068,57
Completed,0.06,3,1708,12,0.585,3839
Completed,0.06,5,3043,8,0.475,2269
Completed,0.04,6,4913,18,0.81,2810
Completed,0.04,5,1091,1,0.141,1240
Completed,0.04,5,573,16,0.267,466
Completed,0.04,5,1486,18,0.902,1634
Completed,0.04,5,3192,0,0.907,269
Completed,0.04,5,2183,20,0.017,3700
Completed,0.06,5,2115,5,0.999,1609
Completed,0.06,4,4832,14,0.999,5000
Completed,0.03,2096,605,14,0.999,1
Completed,0.08,4,5000,9,0.999,1805
Completed,0.06,4,127,14,0.001,4374
Completed,0.06,5,2461,5,0.944,4612
Completed,0.04,5,2514,3,0.045,4434
Completed,0.05,4,4378,13,0.74,488
Completed,0.04,5,874,6,0.317,3288
Completed,0.04,5,121,11,0.215,2519
Completed,0.04,4,3957,10,0.854,944
Completed,0.04,5,3325,19,0.424,3978
Completed,0.04,5,2005,0,0.503,2403
Completed,0.04,7,2279,15,0.465,827
Completed,0.04,8,3594,6,0.603,3026
Completed,0.04,5,3825,11,0.369,4810
Completed,0.08,5,302,9,0.696,1379
Completed,0.05,5,740,13,0.835,2154
Completed,0.04,5,4557,7,0.225,4348
Completed,0.04,5,4101,4,0.657,3271
Completed,0.04,5,1222,19,0.652,4866
Completed,0.08,4,1,9,0.999,2952
Completed,0.08,4,5000,9,0.999,4007
Completed,0.06,4,5000,14,0.001,3006
Completed,0.06,3,5000,12,0.999,1085
Completed,0.05,4,1,17,0.999,2455
Completed,0.08,4,1,9,0.001,3238
Completed,0.08,4,5000,9,0.999,2714
Completed,0.09,2028,5000,9,0.001,1315
Completed,0.06,5,1,5,0.999,2725
Completed,0.05,4,1,17,0.999,774
Completed,0.06,4,5000,14,0.999,3454
Completed,0.05,5,1,17,0.999,2925
Completed,0.08,4,1,9,0.001,2763
Completed,0.04,5,5000,20,0.999,2276
Completed,0.06,4,5000,14,0.001,2578
Completed,0.08,4,5000,9,0.001,2399
Completed,0.06,5,5000,5,0.001,5000
Completed,0.05,4,1,17,0.001,2211
Completed,0.06,4,5000,12,0.001,2784
Completed,0.08,4,1,9,0.001,3711
Completed,0.06,5,5000,5,0.999,1105
Completed,0.05,4,1,17,0.999,3837
Completed,0.08,2778,5000,12,0.001,953
Completed,0.08,5,2661,9,0.001,2939
Completed,0.08,4,1,9,0.001,2325
Completed,0.05,4,1,17,0.999,4295
Completed,0.08,4,948,9,0.528,5000
Completed,0.08,4,5000,9,0.001,5000
Completed,0.08,4,5000,9,0.999,74
Completed,0.08,4,5000,9,0.529,3694
Completed,0.08,4,256,9,0.506,3655
Completed,0.06,3,5000,12,0.92,565
Completed,0.08,4,108,9,0.592,2024
Completed,0.06,3,520,12,0.687,787
Completed,0.08,4,1,9,0.478,4682
Completed,0.06,4,5000,14,0.001,4458
Completed,0.08,4,5000,9,0.001,4434
Completed,0.06,4,5000,14,0.001,5000
Completed,0.08,4,1,9,0.534,5000
Completed,0.08,4,2911,9,0.999,4418
Completed,0.08,4,104,9,0.498,4128
Completed,0.08,4,5000,9,0.999,542
Completed,0.06,5,1874,5,0.001,2129
Completed,0.06,5,5000,5,0.001,2396
Completed,0.08,4,3101,9,0.574,4152
Completed,0.08,4,1,9,0.999,223
Completed,0.06,4,4427,12,0.464,2340
Completed,0.06,4,1,14,0.346,5000
Completed,0.06,5,2163,5,0.446,5000
Completed,0.08,4,5000,9,0.999,1134
Completed,0.06,5,1,5,0.001,2165
Completed,0.05,5,1,13,0.373,5000
Completed,0.08,4,1978,9,0.365,5000
Completed,0.08,4,3884,9,0.649,3305
Completed,0.04,5,575,1,0.767,5000
Completed,0.05,5,1,13,0.001,3467
Completed,0.09,3079,2900,9,0.769,1
Completed,0.08,4,5000,9,0.551,830
Completed,0.06,4,1,14,0.999,1052
Completed,0.06,5,983,5,0.663,1435
Completed,0.04,5,1361,4,0.695,979
Completed,0.08,4,5000,9,0.7,529
Completed,0.04,5,1090,15,0.711,4913
Completed,0.01,1505,2412,6,0.999,1
