Status,ACCURACY,RUNTIME,recent_samples_size,feature_id,threshold,window_size
Completed,0.17,16,2905,127,0.999,3916
Completed,0.17,13,1202,0,0.584,1408
Completed,0.17,15,1,56,0.981,3627
Completed,0.17,14,1,76,0.574,5000
Completed,0.17,16,1,127,0.42,405
Completed,0.17,15,3465,0,0.999,5000
Completed,0.27,445,4373,0,0.999,24
Completed,0.17,15,5000,0,0.579,3346
Completed,0.17,20,753,127,0.485,2790
Completed,0.16,413,2137,0,0.426,686
Completed,0.17,15,976,127,0.684,3828
Completed,0.17,14,3059,79,0.682,3188
Completed,0.29,257,3087,0,0.999,22
Completed,0.17,17,3658,127,0.999,3143
Completed,0.17,20,2954,127,0.479,3565
Completed,0.17,13,3207,0,0.999,637
Completed,0.17,16,4497,0,0.426,4885
Completed,0.17,17,5000,127,0.649,3192
Completed,0.2,979,3097,127,0.176,5000
Completed,0.17,14,2440,0,0.999,2631
Completed,0.17,13,4560,0,0.721,1832
Completed,0.17,15,3495,127,0.999,5000
Completed,0.17,22,2057,127,0.276,5000
Completed,0.16,2776,446,87,0.001,2875
Completed,0.15,57,132,74,0.566,765
Completed,0.17,19,1717,77,0.907,3477
Completed,0.17,14,1,0,0.348,4652
Completed,0.17,21,1,127,0.154,1049
Completed,0.17,20,1,0,0.756,4054
Completed,0.17,14,1,0,0.999,2840
Completed,0.32,480,2068,0,0.065,686
Completed,0.17,16,4521,127,0.999,1015
Completed,0.17,13,419,63,0.792,1004
Completed,0.34,4739,765,66,0.999,1
Completed,0.17,14,927,127,0.777,1970
Completed,0.17,15,929,127,0.874,2514
Completed,0.17,14,2866,127,0.636,2313
Completed,0.17,13,3865,0,0.831,667
Completed,0.17,14,3143,52,0.623,2465
Completed,0.17,15,1,127,0.224,4023
Completed,0.17,16,2339,0,0.999,3787
Completed,0.17,18,922,0,0.657,2667
Completed,0.17,14,3687,31,0.999,3856
Completed,0.17,14,2078,127,0.999,2525
Completed,0.17,15,555,127,0.999,3472
