Status,ACCURACY,RUNTIME,recent_samples_size,feature_id,threshold,window_size
Completed,0.72,149,2038,3,0.001,5000
Completed,0.73,781,2188,3,0.001,1953
Completed,0.73,2039,2608,3,0.001,2294
Completed,0.74,776,2172,3,0.001,594
Completed,0.74,659,2171,3,0.001,758
Completed,0.72,531,2142,3,0.001,5000
Completed,0.62,4622,2473,4,0.001,5000
Completed,0.74,486,2131,3,0.127,1
Completed,0.71,31,1,3,0.001,2890
Completed,0.73,4037,1928,3,0.809,82
Completed,0.73,4378,1321,3,0.001,2352
Completed,0.73,257,66,3,0.001,2636
Completed,0.73,4779,1371,3,0.001,2601
Completed,0.74,2596,556,3,0.999,1
Completed,0.73,246,2065,3,0.002,2517
Completed,0.72,4538,1345,3,0.001,3307
Completed,0.73,5009,1431,3,0.001,2156
Completed,0.74,30,2006,3,0.476,1
Completed,0.74,4350,576,3,0.761,1
Completed,0.73,4789,3401,3,0.001,2129
Completed,0.73,5103,1321,3,0.637,82
Completed,0.74,197,56,3,0.999,1
Completed,0.74,524,103,3,0.834,1
Completed,0.74,312,2082,3,0.999,1
Completed,0.74,586,119,3,0.44,1
Completed,0.71,37,1,3,0.001,1981
Completed,0.74,1927,337,3,0.999,1
Completed,0.74,686,2163,3,0.854,1
Completed,0.72,330,2095,3,0.081,2680
Completed,0.6,4771,3930,6,0.719,168
Completed,0.73,6576,3161,3,0.272,206
Completed,0.72,334,2098,3,0.109,2910
Completed,0.74,489,2131,3,0.999,1
Completed,0.73,979,290,3,0.001,2285
Completed,0.74,3829,2628,3,0.001,462
Completed,0.74,229,64,3,0.268,1
Completed,0.74,2813,623,3,0.001,1
Completed,0.57,1803,2111,2,0.999,1
Completed,0.61,729,2099,5,0.466,532
Completed,0.61,1761,2325,5,0.702,597
Completed,0.65,610,382,3,0.377,4099
Completed,0.63,848,548,3,0.429,5000
Completed,0.73,4327,4270,3,0.65,100
Completed,0.62,4938,1475,5,0.812,974
Completed,0.64,69,2035,3,0.459,5000
Completed,0.59,712,2574,6,0.695,1234
Completed,0.61,6992,957,5,0.512,776
Completed,0.57,30,4681,1,0.856,400
Completed,0.74,189,2064,3,0.519,70
Completed,0.71,1908,2676,3,0.22,2378
Completed,0.71,8,1,3,0.884,1
Completed,0.74,233,65,3,0.001,1
Completed,0.74,6122,776,3,0.573,1
Completed,0.72,1516,2700,3,0.25,909
Completed,0.74,4801,2630,3,0.235,1
Completed,0.71,850,868,3,0.582,275
Completed,0.61,219,1539,3,0.999,114
Completed,0.59,53,1,4,0.001,2274
Completed,0.72,364,2109,3,0.001,5000
Completed,0.74,220,2058,3,0.515,1
Completed,0.7,380,2153,3,0.256,3606
Completed,0.7,31,1,3,0.124,2869
Completed,0.74,557,2144,3,0.371,1
Completed,0.71,429,2154,3,0.239,2694
Completed,0.7,372,2171,3,0.314,2929
Completed,0.72,508,2165,3,0.194,2314
Completed,0.72,344,104,3,0.001,5000
Completed,0.71,407,2173,3,0.291,2226
Completed,0.72,725,2182,3,0.105,2591
Completed,0.72,432,119,3,0.001,3842
Completed,0.71,377,2180,3,0.404,360
Completed,0.72,488,2143,3,0.001,4028
Completed,0.73,561,2159,3,0.001,2444
Completed,0.57,42,1,0,0.999,3348
Completed,0.6,20,1,3,0.497,336
Completed,0.66,310,2187,3,0.373,2719
Completed,0.57,42,4653,4,0.999,5000
Completed,0.63,201,148,3,0.439,3193
Completed,0.57,34,4300,1,0.999,3408
Completed,0.61,27,4765,3,0.999,3557
Completed,0.61,29,3487,3,0.999,4005
Completed,0.57,35,1456,1,0.999,1194
Completed,0.62,152,2137,3,0.631,4069
Completed,0.63,750,2750,3,0.596,5000
Completed,0.57,30,3934,1,0.649,675
Completed,0.57,36,4516,7,0.999,3998
Completed,0.57,34,1174,1,0.334,3027
Completed,0.57,40,1443,1,0.999,5000
Completed,0.57,38,1118,1,0.628,4517
Completed,0.61,30,1419,3,0.999,5000
Completed,0.57,36,1422,2,0.999,5000
Completed,0.57,35,3944,1,0.999,2014
Completed,0.57,35,4038,1,0.702,3255
Completed,0.57,39,1239,7,0.999,5000
Completed,0.61,30,2244,3,0.999,5000
Completed,0.57,36,3627,2,0.999,3544
Completed,0.57,3736,2566,7,0.541,3887
Completed,0.61,28,615,3,0.999,5000
Completed,0.57,33,1171,7,0.999,2197
Completed,0.57,36,959,2,0.342,3573
Completed,0.57,38,2072,7,0.999,3750
Completed,0.61,28,2551,3,0.999,5000
