Status,ACCURACY,RUNTIME,recent_samples_size,feature_id,threshold,window_size
Completed,0.02,4308,4114,15,0.31,1585
Completed,0.02,1839,633,51,0.538,4702
Completed,0.02,1784,2727,29,0.999,3612
Completed,0.02,1771,3148,4,0.726,2829
Completed,0.48,3058,1,15,0.001,3498
Completed,0.48,3118,1,11,0.001,2739
Completed,0.66,1993,1,0,0.059,3258
Completed,0.06,1836,3242,46,0.82,4612
Completed,0.02,1818,4226,11,0.684,4856
Completed,0.02,2202,1408,33,0.756,609
Completed,0.02,1775,2850,28,0.697,3343
Completed,0.02,2030,3520,22,0.777,2940
Completed,0.03,2268,4969,52,0.233,515
Completed,0.02,3710,4409,17,0.589,1478
Completed,0.02,2559,489,24,0.375,3486
Completed,0.02,1673,425,38,0.606,391
Completed,0.02,1908,2821,38,0.255,2942
Completed,0.02,1801,334,20,0.442,4822
Completed,0.02,1775,832,29,0.414,1739
Completed,0.02,1838,2258,16,0.848,3454
Completed,0.02,1737,3358,22,0.35,1123
Completed,0.02,1536,1742,43,0.623,2987
Completed,0.47,5583,4,3,0.187,2210
Completed,0.02,1758,4745,35,0.91,4077
Completed,0.02,1770,606,49,0.979,695
Completed,0.02,1817,3531,30,0.55,2107
Completed,0.02,1810,3096,3,0.792,1328
Completed,0.04,3425,2124,38,0.049,4422
Completed,0.02,1696,1050,24,0.736,228
Completed,0.02,1574,3897,43,0.478,3325
Completed,0.06,1354,3935,25,0.944,2488
Completed,0.02,1790,4186,27,0.143,898
Completed,0.48,2704,1,42,0.349,1
Completed,0.02,1779,1,51,0.888,5000
Completed,0.48,2730,1,50,0.196,1
Completed,0.66,2007,1,0,0.001,564
Completed,0.48,2963,1,42,0.001,1106
Completed,0.48,3092,1,32,0.001,4030
Completed,0.48,2996,1,37,0.001,3940
Completed,0.48,3221,1,51,0.001,4346
Completed,0.48,3103,1,53,0.001,3042
Completed,0.48,3083,1,42,0.001,1692
Completed,0.47,2673,1,43,0.001,4013
Completed,0.02,2115,1211,4,0.351,3158
Completed,0.48,3045,1,53,0.002,1673
Completed,0.18,1774,1,53,0.087,1042
Completed,0.02,1715,5000,53,0.999,5000
Completed,0.33,1184,2608,0,0.999,5000
Completed,0.02,1657,2600,53,0.999,598
Completed,0.33,1819,1,0,0.999,5000
Completed,0.33,1841,5000,0,0.999,5000
Completed,0.02,1763,1,27,0.999,5000
Completed,0.02,1957,3397,53,0.999,5000
Completed,0.33,1414,4081,0,0.999,967
Completed,0.02,2292,4793,53,0.326,4536
Completed,0.02,1678,1,53,0.305,172
Completed,0.06,1447,4923,25,0.772,4490
Completed,0.02,1793,4591,53,0.884,4849
Completed,0.63,1666,1,0,0.713,4764
Completed,0.02,1708,3767,53,0.999,350
Completed,0.33,1227,1818,0,0.999,4615
Completed,0.02,1743,5000,15,0.531,2052
Completed,0.02,1899,4842,53,0.57,4914
Completed,0.02,1817,2311,10,0.999,4509
Completed,0.02,1853,1,21,0.999,1070
Completed,0.02,1733,5000,53,0.205,1961
Completed,0.02,1679,5000,22,0.815,612
Completed,0.33,1119,137,0,0.999,794
Completed,0.02,2231,2495,53,0.999,5000
Completed,0.02,1798,5000,15,0.835,4295
Completed,0.5,1372,1,0,0.835,5000
Completed,0.66,2075,1,0,0.574,3044
Completed,0.35,1203,1,0,0.868,1001
Completed,0.53,1332,1,0,0.744,1186
Completed,0.63,1782,1,0,0.622,5000
Completed,0.66,1906,1,0,0.504,4166
Completed,0.53,1410,1,0,0.775,5000
Completed,0.35,4408,191,0,0.919,4353
Completed,0.62,1429,1,0,0.637,183
Completed,0.52,6451,5000,0,0.999,28
Completed,0.66,1622,1,0,0.914,1
Completed,0.34,1231,1,0,0.885,5000
Completed,0.33,1063,48,0,0.825,114
Completed,0.33,1234,1,0,0.948,5000
Completed,0.63,1781,1,0,0.672,4812
Completed,0.66,1617,1,0,0.701,1
Completed,0.66,1921,1,0,0.555,4716
Completed,0.33,1213,1195,0,0.999,5000
Completed,0.66,1627,1,0,0.531,1
Completed,0.33,1237,4107,0,0.999,4952
Completed,0.53,1607,1,0,0.74,5000
Completed,0.02,1504,1,43,0.505,216
Completed,0.64,1700,1,0,0.516,939
Completed,0.66,1943,1,0,0.434,3712
Completed,0.66,1909,1,0,0.001,1132
Completed,0.33,1062,1,0,0.887,376
Completed,0.66,1964,1,0,0.359,1177
Completed,0.53,1387,1,0,0.697,690
Completed,0.33,1232,3783,0,0.999,4698
Completed,0.66,1917,1,0,0.001,1443
Completed,0.66,1732,1,0,0.253,1
Completed,0.66,1827,1,0,0.474,1429
Completed,0.53,1379,1,0,0.731,1586
Completed,0.66,1747,1,0,0.336,374
Completed,0.48,3209,1,24,0.001,4681
Completed,0.66,2080,1,0,0.206,1332
